"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",72,19125
"2",2,"Ja, aber Sie sind stark genug, dagegenzureden.","","","01",72,19125
"3",3,"Dr.","","","02",72,19125
"4",4," Christoph Ploß:","","","03",72,19125
"5",5," Ja, aber es wäre prima, wenn Sie bei den Grünen auch so konsequent einschreiten würden.","","","04",72,19125
"6",6," Dr.","","","05",72,19125
"7",7," Christoph PloßIch glaube, Demokratie zeichnet sich nicht dadurch aus, dass man am meisten schreit, sondern dadurch, dass man den Argumenten der anderen zuhört.","","","06",72,19125
"8",8," Das, was für die AfD gilt, gilt auch für Sie, liebe Grüne.","","","07",72,19125
"9",9,"Ich will Ihnen zum Abschluss sagen:","","","08",72,19125
"10",10," Klimaschutz wird nicht erfolgreich sein, wenn wir am Ende Gelbwestenproteste haben, wenn das Land sozial gespalten ist oder wenn Arbeitsplätze vernichtet werden.
 Klimaschutz wird vielmehr erfolgreich sein, wenn wir in Deutschland Exportschlager entwickeln, die wir in andere Länder exportieren können, Vizepräsidentin Claudia ","","","09",72,19125
