"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",40,19081
"2",2,"Frau Kollegin, Sie haben jetzt noch einen Satz.","","","01",40,19081
"3",3,"Ulle Schauws:","","","02",40,19081
"4",4,"Ich sage:","","","03",40,19081
"5",5," Unsere Oppositionsgesetzentwürfe zur Streichung liegen vor.","","","04",40,19081
"6",6," Es liegt auch ein Gesetzentwurf in der Schublade der SPD.","","","05",40,19081
"7",7," Sie haben es jetzt in der Hand.","","","06",40,19081
"8",8," Lassen Sie uns gemeinsam $ 291a streichen!Vielen Dank.
 Vizepräsident Wolfgang ","","","07",40,19081
