"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",102,19098
"2",2," Frau Kollegin, kommen Sie bitte zum Ende.","","","01",102,19098
"3",3,"Dr.","","","02",102,19098
"4",4," Nina Scheer:","","","03",102,19098
"5",5,"Ich komme zum Ende.","","","04",102,19098
"6",6," — Ich möchte anhand dieser Zahlen nur darauf hingewiesen haben, dass die AfD in der Tat nicht mehr klar denken kann.","","","05",102,19098
"7",7," Ich hoffe, das ist mir gelungen.","","","06",102,19098
"8",8," In diesem Sinne:","","","07",102,19098
"9",9," Für einen guten Klimaschutz.","","","08",102,19098
"10",10," Vizepräsident Dr.
 Hans-Peter ","","","09",102,19098
