"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",26,19097
"2",2," Frau Bundesministerin.","","","01",26,19097
"3",3,"Svenja Schulze, Bundesministerin für Umwelt, Naturschutz und nukleare Sicherheit:","","","02",26,19097
"4",4,"Wir sehen einen ganz dramatischen Rückgang der Insekten.","","","03",26,19097
"5",5," Das hat natürlich auch weitere Folgen.","","","04",26,19097
"6",6," Das hat Folgen für die Bestäubung von Pflanzen, das hat aber auch Folgen für all die, die in der Nahrungskette sind.","","","05",26,19097
"7",7," Man sieht jetzt schon, dass die Anzahl der Vögel zurückgeht.","","","06",26,19097
"8",8," Die Vögel, die wir früher noch kannten, zum Beispiel Feldlerche und Kiebitz, stehen enorm unter Druck.","","","07",26,19097
"9",9," Deswegen ist das Aktionsprogramm so wichtig.","","","08",26,19097
"10",10," Wir wollen mit dem Aktionsprogramm mehr Lebensraum für Insekten erreichen.","","","09",26,19097
"11",11," Wir wollen, dass sich die Landwitrtschaft verändert, dass sie weniger Pflanzengifte einsetzt.","","","10",26,19097
"12",12," Wir müssen gegen Lichtverschmutzung vorgehen, weil auch diese den Insekten Probleme bereitet.","","","11",26,19097
"13",13," Und wir wollen die Forschung ausdehnen.","","","12",26,19097
"14",14," Wir brauchen ein stärkeres Biodiversitätsmonitoring.","","","13",26,19097
"15",15," Wir wissen zwar schon genug, um zu handeln, aber wir müssen noch mehr über die Zusammenhänge lernen.","","","14",26,19097
"16",16," Deswegen wollen wir auch die Forschung und das Monitoring zur biologischen Vielfalt vorantreiben.","","","15",26,19097
"17",17,"Präsident Dr.
 Wolfgang ","","","16",26,19097
