"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",67,19092
"2",2,"Vielen Dank, Herr Kollege Koeppen.","","","01",67,19092
"3",3," — Die Rede von Mario Mieruch geht zu Protokoll.","","","02",67,19092
"4",4," Damit ist die Aktuelle Stunde beendet.","","","03",67,19092
"5",5,"Mir liegt eine Wortmeldung zu einem Geschäftsordnungsantrag des Kollegen Grund, CDU/CSU-Fraktion, vor.","","","04",67,19092
"6",6,"Manfred Grund:","","","05",67,19092
"7",7," Herr Präsident! Meine Kolleginnen und Kollegen! Die Fraktion der AfD hatte in der laufenden Aktuellen StundeManfred Grundeine sofortige Unterbrechung der Debatte für eine Stunde beantragt, um eine Fraktionssitzung durchführen zu können.","","","06",67,19092
"8",8," Die Mehrheit im Haus konnte diesem Antrag nicht folgen.","","","07",67,19092
"9",9,"Ich bitte darum, dass wir jetzt die Debatte für eine halbe Stunde unterbrechen, damit die AfD-Fraktion ihre Fraktionssitzung geordnet zu Ende bringen kann und wir dann wieder gemeinsam in die Tagesordnung einsteigen können.","","","08",67,19092
"10",10,"Vizepräsident Dr.
 Hans-Peter ","","","09",67,19092
