"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",38,19115
"2",2," Vielen Dank, Falko Mohrs.","","","01",38,19115
"3",3," — Nächster Redner:","","","02",38,19115
"4",4," für die FDP-Fraktion Thomas Kemmerich.","","","03",38,19115
"5",5," Thomas L.","","","04",38,19115
"6",6," Kemmerich:","","","05",38,19115
"7",7,"Sehr verehrte Präsidentin! Meine sehr verehrten Damen und Herren! Liebe Zuschauer auf der Tribüne! Liebe Zuschauer im Netz und über sonstige Medien! Thüringen, Sachsen, Sachsen-Anhalt, Brandenburg, MecklenburgVorpommern und auch Gesamtberlin — das bedeutet Potenziale, Chancen und Zukunft.","","","06",38,19115
"8",8," Der Mut und die Entschlossenheit der Menschen gerade auch in meiner Heimat Thüringen sind beispiellos.","","","07",38,19115
"9",9," Sie haben für den Aufschwung der letzten knapp 30 Jahre Sorge getragen, oftmals trotz der Politik.","","","08",38,19115
"10",10," Der eine oder andere mag unseren Antrag mit einer allgemeinen Lagebeschreibung verwechseln.","","","09",38,19115
"11",11," Uns geht es hier aber um den Mittelstand, das Unternehmertum Wir wollen diesen Menschen in Ostdeutschland helfen, sich selbst zu helfen, sich selbst aus dem Schlamassel zu ziehen, indem wir die wirtschaftliche Betätigung fördern und die Anerkennung für wirtschaftliches Unternehmertum stärken.","","","10",38,19115
"12",12,"Denn gerade der Mittelstand und insbesondere die Familienbetriebe sind der Garant für den Aufschwung und für lebenswerte, gute Verhältnisse im ländlichen Raum.","","","11",38,19115
"13",13," Deshalb liegt hierauf unser Augenmerk.","","","12",38,19115
"14",14," Oftmals treffen wir auf unnötige Verwaltung, unverständliche Verordnungen — ich nenne als Stichwort nur den Datenschutz und allgemeines Misstrauen gegenüber dem Unternehmertum.","","","13",38,19115
"15",15," Wir erleben eine überbordende Bürokratie durch Verwaltung, Finanzämter und Ähnliches.","","","14",38,19115
"16",16," Im Einzelnen:","","","15",38,19115
"17",17," Herr Minister Altmaier wird dafür gelobt, Strategien zu entwickeln; die Umsetzung fehlt.","","","16",38,19115
"18",18," Reallabore nützen der jungen Dame, die ich gestern in Kahla in Thüringen getroffen habe, überhaupt nichts.","","","17",38,19115
"19",19," Sie beklagt, dass sie jedes Jahr mit Auflagen für neue Registerkassen belegt wird, deren Verständlichkeit sie nicht mehr nachvollziehen kann, und sie deshalb überlegt, ihren Laden aufzugeben.","","","18",38,19115
"20",20," Das führt dazu, dass wir Verdruss schaffen und den Herren, zu denen ich gleich noch komme, weiter Raum geben.","","","19",38,19115
"21",21," Deshalb, meine Damen und Herren, brauchen wir Freiheitszonen, den Stopp von unnötiger Bürokratie und mehr Vertrauen in die Unternehmen.","","","20",38,19115
"22",22," Wir brauchen Gebiete, wo die Rahmenbedingungen Unternehmensübernahmen und -gründungen leichter und einfacher machen, damit diese, auf Hochdeutsch, auch mehr Spaß machen.","","","21",38,19115
"23",23," Eine Umfrage der IHK belegt:","","","22",38,19115
"24",24," Die Vorschriften zur Datenschutz-Grundverordnung sind unverständlich.","","","23",38,19115
"25",25," Gestaltet sie praxisnah! Habt Mut! Es geht auch um Aufbewahrungsfristen und die zeitnahe Betriebsprüfung der Finanzämter.","","","24",38,19115
"26",26," Thüringen ist Spitzenreiter, was die Schärfe der Finanzämter angeht; das darf nicht sein.","","","25",38,19115
"27",27," Die Aufbewahrungs- und Dokumentationspflichten, wenn elektronisch möglich, sind undurchsichtig.","","","26",38,19115
"28",28," Statistikmeldungen sind vielfach nicht nachvollziehbar.","","","27",38,19115
"29",29," Bitte schafft eine Stelle, wo man sie erfassen kann.","","","28",38,19115
"30",30," Förderverfahren müssen vereinfacht werden.","","","29",38,19115
"31",31," Kaum jemand stellt noch einen Antrag.","","","30",38,19115
"32",32," Der Antrag ist schon kompliziert genug; aber man ist dann auch noch jahrelang in der Nachhaftung, muss rechtfertigen, dass man das Geld sinnvoll ausgegeben hat.","","","31",38,19115
"33",33," Ich gehe davon aus, dass das Geld nicht verschwendet wird.","","","32",38,19115
"34",34," Ich vertraue dem Mittelstand.","","","33",38,19115
"35",35," Auch das ist ein Aspekt des Wirtschaftswachstums:","","","34",38,19115
"36",36," Man vertraut und glaubt, dass der Mittelstand das vernünftig macht.","","","35",38,19115
"37",37," Konkrete Vorschläge zum Thema Gründungen:","","","36",38,19115
"38",38," Wir brauchen Starterzentren.","","","37",38,19115
"39",39," Ein Betonbau hilft nicht weiter, sondern wir brauchen Leute, die das Geschäft verstehen, die den jungen Gründern die Hand reichen und ihnen helfen, ihr Unternehmen in die Spur zu bringen.","","","38",38,19115
"40",40," Wir brauchen Digital Hubs in Ostdeutschland; dort gibt es sie bisher nicht.","","","39",38,19115
"41",41," Wir brauchen eine einfache Erteilung von Steuernummern.","","","40",38,19115
"42",42," Ich habe ein Unternehmen gegründet und neun Monate gebraucht, bis ich die Steuernummern hatte; in der Zwischenzeit liefen beim Finanzamt aberThomas L.","","","41",38,19115
"43",43," Kemmerich schon sechs Verfahren wegen Nichtabgabe einer Steuererklärung.","","","42",38,19115
"44",44," Damit muss Schluss sein.","","","43",38,19115
"45",45," Wir brauchen die Stärkung von Hochschulkernen.","","","44",38,19115
"46",46," An den Hochschulen entstehen die neuen Ideen.","","","45",38,19115
"47",47," In Ostdeutschland gibt es nur eine Exzellenzuniversität, in Thüringen keine.","","","46",38,19115
"48",48," Da läuft etwas falsch.","","","47",38,19115
"49",49," An den Hochschulen entstehen die neuen Ideen, die wir für den Aufschwung Ost brauchen.","","","48",38,19115
"50",50," Wir brauchen diese Ideen, damit Ostdeutschland nach vorne springt.","","","49",38,19115
"51",51," Der Aufholprozess des Ostens im Vergleich zum Westen muss nicht nur beschleunigt werden; der Osten muss wirklich zum Westen aufschließen.","","","50",38,19115
"52",52,"Thüringen, Sachsen, Brandenburg und alle anderen neuen Länder wollen nicht länger Nehmerländer sein.","","","51",38,19115
"53",53," Sie wollen nach vorne und auch Geberländer sein.","","","52",38,19115
"54",54," Das haben Thüringen und die anderen ostdeutschen Länder verdient.","","","53",38,19115
"55",55," Wir sind nicht schlechter.","","","54",38,19115
"56",56," Wir sind genauso selbstbewusst.","","","55",38,19115
"57",57," Wir brauchen nur die richtigen Rahmenbedingungen.","","","56",38,19115
"58",58," Nun zu den Parlamentariern, die oftmals meinen, hier die Interessen der Ostdeutschen zu vertreten.","","","57",38,19115
"59",59," Das, was Sie hier gezeichnet haben, ist ein Zerrbild.","","","58",38,19115
"60",60," Es gibt solche Gegenden; da gebe ich Ihnen recht.","","","59",38,19115
"61",61," Aber glauben Sie, dass sich junge Menschen auf den Weg nach Ostdeutschland machen bzw.","","","60",38,19115
"62",62," zurückkehren, weil es dort so ist, wie Sie es beschrieben haben? — Nein.","","","61",38,19115
"63",63," Leipzig und Jena, das sind tolle Vorbilder.","","","62",38,19115
"64",64," Auch Ilmenau hat eine tolle Universität.","","","63",38,19115
"65",65," Solche Städte gibt es in ganz Ostdeutschland.","","","64",38,19115
"66",66," Deswegen sollten Sie nicht nur von abgehängten Gebieten reden.","","","65",38,19115
"67",67," Unsere Aufgabe ist es, dafür Sorge zu tragen, dass der Aufschwung überall stattfindet, und wir wachsen aus den Kernen heraus, indem wir diese stärken.","","","66",38,19115
"68",68,"Es reicht eben nicht, bei uns etwas abzuschreiben.","","","67",38,19115
"69",69," Die Sonderwirtschaftszonen sind 20 Jahre alt.","","","68",38,19115
"70",70," Wenn Sie das aus dem Programm der FDP abschreiben, dann zeigt das, dass Sie keine eigenen Ideen haben.","","","69",38,19115
"71",71," Es reicht nicht, hier so zu reden; denn Ihr Vorsitzender hat auf dem Kyffhäusertreffen ganz anders geredet.","","","70",38,19115
"72",72," Das sollen die Menschen wissen, bevor sie ihre Wahlentscheidung treffen.","","","71",38,19115
"73",73," Dasselbe gilt für die Statistiken, die wir immer gesundbeten.","","","72",38,19115
"74",74," Wir alle haben in den Wahlkämpfen in den letzten Jahren, Monaten und Tagen gemerkt, dass die Leute keine Statistiken brauchen.","","","73",38,19115
"75",75," Die Leute wollen echte Hilfe, und sie wollen Anerkennung für ihre Lebensleistung.","","","74",38,19115
"76",76," Das bedeutet, dass wir sie mit ihren Sorgen ernst nehmen.","","","75",38,19115
"77",77," Und die Kernsorge ist, dass das Aufstiegsversprechen, das immer ein Grundpfeiler der sozialen Marktwirtschaft war, nicht mehr gilt.","","","76",38,19115
"78",78,"Das Einzige, was da hilft, ist, dass wir die Bürokratie nicht länger so organisieren, dass sich die Unternehmen und die Bürger nach der Bürokratie zu richten haben, sondern so, dass sich die Bürokratie danach richtet, was die Bürger wollen, so, dass es für die Unternehmer leichter ist, erfolgreich zu sein.","","","77",38,19115
"79",79," Kernpunkt ist tatsächlich, dass es immer komplizierter wird, die Infrastruktur auf einem aktuellen Stand zu halten, sie modern zu halten.","","","78",38,19115
"80",80," Wir haben vor 30 Jahren in Ostdeutschland damit begonnen, eine Infrastruktur aus den maroden Überresten des Sozialismus aufzubauen.","","","79",38,19115
"81",81," Diese Infrastruktur zerfällt gerade wieder, weil die Verfahren zur Genehmigung und zur Vergabe von Aufträgen zu kompliziert geworden sind.","","","80",38,19115
"82",82," Macht diese Verfahren einfacher! Dann geht es schneller, und der Erfolg wird erlebbar.","","","81",38,19115
"83",83," Für die Ostdeutschen ist es nicht wichtig, dass Windkrafträder im Wald stehen, sondern, dass es 5G an jeder Milchkanne gibt und auch im letzten Haushalt Breitband verfügbar ist.","","","82",38,19115
"84",84," Meine Damen und Herren, wir brauchen Mut, wir müssen den Menschen in Thüringen, Sachsen, Sachsen-Anhalt, Mecklenburg-Vorpommern, Brandenburg und Berlin etwas zutrauen.","","","83",38,19115
"85",85," Sie wollen keine Almosen.","","","84",38,19115
"86",86," Sie wollen Freiheit, um sich selbst zu verwirklichen.","","","85",38,19115
"87",87," Wir stehen vor großen Aufgaben in diesen Gebieten.","","","86",38,19115
"88",88," Aber die Menschen vor Ort können das selber regeln, wenn wir sie nur lassen.","","","87",38,19115
"89",89,"Vielen Dank.
Vizepräsidentin Claudia ","","","88",38,19115
