"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",91,19131
"2",2," Kommen Sie bitte zum Schluss.","","","01",91,19131
"3",3,"Grigorios Aggelidis:","","","02",91,19131
"4",4,"Letzter Satz, Frau Präsidentin.","","","03",91,19131
"5",5," — Stimmen Sie unseren Anträgen zu, machen Sie endlich Ernst.","","","04",91,19131
"6",6," Wir Freien Demokraten packen es an für Familien und Kinder.","","","05",91,19131
"7",7," Wir warten darauf, dass diese Regierung das auch endlich tut.","","","06",91,19131
"8",8,"Danke schön.
 Vizepräsidentin Claudia ","","","07",91,19131
