"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",101,19131
"2",2," Jetzt ist Herr Weinberg dran.","","","01",101,19131
"3",3,"Marcus Weinberg:","","","02",101,19131
"4",4," Also Wahlkampfprojekte, keine Wahlkampfgeschenke.","","","03",101,19131
"5",5,"Sie haben, hoffe ich, die ausführliche Debatte über das Familienstärkungsgesetz mitbekommen.","","","04",101,19131
"6",6," Einer der Kernpunkte war, dass diese Maßnahmen ankommen.","","","05",101,19131
"7",7," Entbürokratisierung deswegen, weil man die Leistungen aus dem Bildungs- und Teilhabepaket generell beantragen kann — natürlich mit Ausnahme der Klassenreisen; denn das ist wegen der Höhe finanziell eine andere Geschichte.","","","06",101,19131
"8",8,"Wir reden über das Thema Digitalisierung.","","","07",101,19131
"9",9," Bei vielen Punkten geht es jetzt immer um Digitalisierung.","","","08",101,19131
"10",10," Wir verfolgen doch dieses Bestreben nicht, weil wir digitalaffin sind, sondern weil wir wissen, dass zu wenige Menschen ihren Rechtsanspruch auf eine Leistung einlösen.","","","09",101,19131
"11",11," Ein Unterhaltsvorschuss ist keine milde Gabe dieser Bundesregierung.","","","10",101,19131
"12",12," Der Unterhaltsvorschuss ist ein Rechtsanspruch der betroffenen Menschen.","","","11",101,19131
"13",13," Wir wollen, dass sie davon Gebrauch machen.","","","12",101,19131
"14",14," Deswegen werben wir dafür, deswegen entbürokratisieren wir, und deswegen sagen wir auch in den Beratungen immer wieder ganz deutlich:","","","13",101,19131
"15",15," Es muss unser Ziel sein, dass der Kinderzuschlag, der Unterhaltsvorschuss von den Familien in Anspruch genommen werden, die ein Recht darauf haben.","","","14",101,19131
"16",16," Dieses Recht muss man in Anspruch nehmen können.","","","15",101,19131
"17",17," Das ist auch das Bestreben gewesen in den letzten Monaten.","","","16",101,19131
"18",18," Insoweit können Sie uns das nicht vorwerfen.","","","17",101,19131
"19",19," Ich will zum Thema Kinderschutz, zum Thema Zusammenhalt kommen.","","","18",101,19131
"20",20," Zusammenhalt heißt auch, dass Kinder sich darauf verlassen können in dieser Gesellschaft, dass sie geschützt werden, dass sie beschützt werden.","","","19",101,19131
"21",21," Auch hier gilt der Grundsatz „Wer Familien und Eltern stärkt, stärkt die Kinder“, auch hinsichtlich der Missbrauchsproblematik.","","","20",101,19131
"22",22," Die Frühen Hilfen wurden angesprochen, die Verstetigung der Mittel, auch das Thema „sexueller Missbrauch“, der Fonds Sexueller Missbrauch.","","","21",101,19131
"23",23," Wir als Union haben uns mit Blick auf den Kampf gegen den Missbrauch von Kindern und Jugendlichen deutlich positioniert.","","","22",101,19131
"24",24," Ich sage ganz klar für die Zukunft:","","","23",101,19131
"25",25," Das ThemaMarcus Weinbergdarf uns nicht ruhen lassen.","","","24",101,19131
"26",26," Es kann nicht sein, dass Tausende von Missbrauchsverdächtigungen nicht abgearbeitet werden können, weil der Datenschutz es verhindert.","","","25",101,19131
"27",27," Wir müssen, glaube ich, mal darüber nachdenken, wie wir hier eine andere Regelung finden; denn ich glaube, das sind wir unseren Kindern schuldig.","","","26",101,19131
"28",28," Das müssen wir unseren Kindern auch schuldig sein.","","","27",101,19131
"29",29,"Letzter Teilbereich, der angesprochen wurde — ich komme zurück zum Anfang -, ist das Thema „Förderung des bürgerschaftlichen Engagements“.","","","28",101,19131
"30",30," Ja, es gibt 30 Millionen Menschen in diesem Land, die sich engagieren.","","","29",101,19131
"31",31," Darauf können wir stolz sein.","","","30",101,19131
"32",32," Zusammenhalt heißt auch, dass man etwas von seiner Freizeit der Gesellschaft gibt.","","","31",101,19131
"33",33," Diese Gesellschaft, diese Gemeinschaft schützt übrigens den Einzelnen, stärkt den Einzelnen, pflegt den Einzelnen.","","","32",101,19131
