"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",99,19092
"2",2," Vielen Dank, Herr Kollege Ullrich.","","","01",99,19092
"3",3," — Ich schließe die Aussprache zu dem Tagesordnungspunkt 10.","","","02",99,19092
"4",4,"Wir kommen zur Abstimmung über den von der Bundesregierung eingebrachten Gesetzentwurf zu dem Abkommen vom 24.","","","03",99,19092
"5",5," November 2017 über eine umfassende und verstärkte Partnerschaft zwischen der Europäischen Union und der Europäischen Atomgemeinschaft und ihren Mitgliedstaaten einerseits und der Republik Armenien andererseits.","","","04",99,19092
"6",6," Der Auswärtige Ausschuss empfiehlt in seiner Beschlussempfehlung auf Drucksache 19/9009, den Gesetzentwurf der Bundesregierung auf Drucksache 19/7835 anzunehmen.","","","05",99,19092
"7",7,"Zweite Beratungund Schlussabstimmung.","","","06",99,19092
"8",8," Ich bitte diejenigen, die dem Gesetzentwurf zustimmen wollen, sich zu erheben.","","","07",99,19092
"9",9," — Das sind die Koalitionsfraktionen, die Grünen und die FDP.","","","08",99,19092
"10",10," Wer stimmt dagegen? — Enthaltungen? — AfD und Linke.","","","09",99,19092
"11",11," Der Gesetzentwurf ist angenommen.","","","10",99,19092
"12",12,"Ich rufe den Tagesordnungspunkt 11 auf:","","","11",99,19092
"13",13,"Zweite und dritte Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes zur Beschleunigung des EnergieleitungsausbausDrucksachen 19/7375, 19/7914, 19/8435 Nr.","","","12",99,19092
"14",14," 1Vizepräsident Dr.","","","13",99,19092
"15",15," Hans-Peter FriedrichBeschlussempfehlung und Bericht des Ausschusses für Wirtschaft und EnergieDrucksachen 19/8913, 19/9027Hierzu liegt ein Entschließungsantrag der Fraktion Bündnis 90/Die Grünen vor.","","","14",99,19092
"16",16,"Nach einer interfraktionellen Vereinbarung sind für die Debatte 38 Minuten vorgesehen.","","","15",99,19092
"17",17," — Es gibt keinen Widerspruch, aber Unruhe.","","","16",99,19092
"18",18," Können Sie sich bitte hinsetzen oder den Saal verlassen?Ich eröffne die Aussprache.","","","17",99,19092
"19",19," Der erste Redner ist für die Bundesregierung der Bundesminister Peter Altmaier.","","","18",99,19092
"20",20," Peter Altmaier, Bundesminister für Wirtschaft und Energie:","","","19",99,19092
"21",21,"Herr Präsident! Meine sehr verehrten Damen und Herren! Liebe Kolleginnen und Kollegen! Wir beraten heute abschließend den Gesetzentwurf zur Beschleunigung des Energieleitungsausbaus.","","","20",99,19092
"22",22," Es ist ein technisches Gesetz.","","","21",99,19092
"23",23," Es ist ein Gesetz, das wir zu später Stunde beraten.","","","22",99,19092
"24",24," Es kann zu einem Meilenstein im Gelingen der Energiewende werden, Herr Krischer.","","","23",99,19092
"25",25," Sie haben sich in den Zeiten, in denen Sie noch regiert haben, darum überhaupt nicht so intensiv gekümmert.","","","24",99,19092
"26",26," Es reicht eben nicht aus, jedes neue Windrad mit Blumengirlanden zu begrüßen und sich dann bei jedem Leitungsprojekt in die Büsche zu schlagen.","","","25",99,19092
"27",27," Insofern bin ich sehr dankbar, dass wir dieses Thema heute hier aufrufen.","","","26",99,19092
"28",28," Darüber, dass wir mit der Energiewende erfreulicherweise vorankommen, dass aber der Leitungsausbau in vielen Bereichen stockt und wir, was den Ausbau der sogenannten Drehstromleitungen im Übertragungsnetzbereich angeht, vier Jahre hinter den ursprünglichen Planungen zurückhängen, sprechen wir nicht zum ersten Mal.","","","27",99,19092
"29",29," Wir haben in einer Debatte zu einer Regierungserklärung vor weniger als einem Jahr darüber geredet, was geschehen muss.","","","28",99,19092
"30",30," Ich habe erklärt:","","","29",99,19092
"31",31," Wir machen den Netzausbau zur Chefsache.","","","30",99,19092
"32",32," Wir machen ihn zur Chefsache, weil dieser Netzausbau nur gelingen kann, wenn der zuständige Minister, aber auch alle beteiligten Ressorts, der Bund, die Länder, die Kommunen und die Bürgerinnen und Bürger vor Ort mit eingebunden sind.","","","31",99,19092
"33",33,"Es ist inzwischen noch kein Jahr vergangen, und wir haben im letzten Herbst den „Aktionsplan Stromnetz“ verabschiedet, einstimmig mit allen 16 Bundesländern.","","","32",99,19092
"34",34," Damit schaffen wir ein Monitoring, damit schaffen wir eine Zusammenarbeit, die es in dieser Form bisher nicht gegeben hat.","","","33",99,19092
"35",35,"Ich habe auf insgesamt drei Netzausbaureisen mit mehreren Tausend Bürgerinnen und Bürgern, die von Projekten betroffen sind, persönlich gesprochen:","","","34",99,19092
"36",36," mit kommunalen Vertretern, mit Landesvertretern, mit den Kolleginnen und Kollegen aus dem Deutschen Bundestag aus den betroffenen Wahlkreisen.","","","35",99,19092
"37",37," Wir haben problematische Punkte angeschaut.","","","36",99,19092
"38",38," Wir haben mit den Beteiligten auch im B terium intensiv gesprochen.","","","37",99,19092
"39",39," Wir verabschieden heute i in zweiter und dritter Lesung dieses N Ich möchte Ihnen allen im Deutschen Bundestag, in den zuständigen Ausschüssen, insbesondere im federführenden Wirtschaftsausschuss, aber auch den Mitarbeiterinnen und Mitarbeitern in meinem Ministerium dafür ein herzliches Dankeschön sagen.","","","38",99,19092
"40",40,"Wir haben bei diesem Gesetzentwurf etwas geschafft, was uns die wenigsten zugetraut hätten.","","","39",99,19092
"41",41," Wir haben einerseits die Genehmigungsverfahren beschleunigt.","","","40",99,19092
"42",42," Das ist dringend notwendig.","","","41",99,19092
"43",43," Andererseits wird die Öffentlichkeit weiterhin frühzeitig beteiligt, und die materiellen Umweltstandards werden nicht abgesenkt.","","","42",99,19092
"44",44," Das ist die Voraussetzung dafür, dass wir vor Ort einen Konsens schaffen können, der wichtig ist, damit die Bevölkerung diese Vorhaben mitträgt.","","","43",99,19092
"45",45,"Wir tasten zum Beispiel die strengen Grenzwerte zu elektromagnetischen Feldern nicht an.","","","44",99,19092
"46",46," Wir wahren das bestehende hohe Schutz- und Versorgungsniveau, aber wir verzichten in vielen Fällen, wo es um Netzoptimierung und Netzverstärkung geht, auf die Bundesfachplanung.","","","45",99,19092
"47",47," Wir haben für das Freileitungsmonitoring ein schlankes Anzeigeverfahren ermöglicht.","","","46",99,19092
"48",48," Es werden künftig in aller Regel auch Leerrohre verlegt werden können.","","","47",99,19092
"49",49,"Zum Ultranet haben wir auf Wunsch des Deutschen Bundestages und der Koalitionsfraktionen festgestellt, dass auf die Bundesfachplanung nicht verzichtet wird.","","","48",99,19092
"50",50," Auch das ist ein Angebot an die Bürgerinnen und Bürger und zeigt, dass wir Bedenken aufgreifen.","","","49",99,19092
"51",51," Wir haben vorgesehen, dass die Verschwenkung der bestehenden Leitungen bei Ultranetleitungen leichter geprüft werden kann.","","","50",99,19092
"52",52," Das ist mir ausgesprochen wichtig; denn es zeigt, dass der Kontakt mit Bürgerinnen und Bürgern auch dazu führt, dass in politischen Verfahren und in Gesetzen einiges geändert werden kann.","","","51",99,19092
"53",53,"Meine sehr verehrten Damen und Herren, wir haben lange mit den Land- und Forstwirten über verbesserte Entschädigungszahlungen gesprochen.","","","52",99,19092
"54",54," Wenn jemand eine Leitung über dem Acker oder unter der Scholle im Interesse des Gelingens der Energiewende und des Allgemeinwohls akzeptieren muss, dann ist es wichtig, dass wir schnell vorankommen und die Beteiligten auch angemessen entschädigt werden.","","","53",99,19092
"55",55," Wir haben uns im parlamentarischen Verfahren darauf verständigt, die Beschleunigungszulage von 50 auf 75 Prozent noch einmalBundesminister Peter Altmaieranzuheben.","","","54",99,19092
"56",56," Ich sage es ausdrücklich:","","","55",99,19092
"57",57," Wir werden in den kommenden Wochen und Monaten auch daran arbeiten, dass die B | möglich macht, dass für Eingriffe in die Landschaft, ‘die durch den Leitungsbau erfolgen, nicht kompensiert werden muss, sondern dass eine unbürokratische, einfache und vernünftige Regelung gefunden wird.","","","56",99,19092
"58",58,"Meine sehr verehrten Damen und Herren, wir haben Regelungen zum Redispatch und zum Einspeisemanagement.","","","57",99,19092
"59",59," Wir haben ein System, das es uns möglich macht, Netzengpässe effizienter und damit für die Verbraucherinnen und Verbraucher kostengünstiger zu bewirtschaften.","","","58",99,19092
"60",60," Wir haben ein nationales Offshoretestfeld geschaffen, und wir haben darüber hinaus eine ganze Reihe von weiteren wichtigen Beschlüssen gefasst.","","","59",99,19092
"61",61,"Auf dieser Basis werden wir mit den Bundesländern in den nächsten Wochen die endgültigen Trassenverläufe dort klären, wo sie noch umstritten sind.","","","60",99,19092
"62",62," Wir werden uns anschließend die Projekte anschauen, bei denen man über die Aufnahme von Pilotverfahren zum Thema Erdverkabelung aus guten Gründen diskutieren kann, um Akzeptanz vor Ort herzustellen und den Abschluss der Leitungsverlegung zu beschleunigen.","","","61",99,19092
"63",63,"Wir werden bei dem Thema Leitungsausbau ein Monitoring einführen, damit jeder zu jedem Zeitpunkt weiß, wo die Ampel auf Grün, wo sie auf Gelb und wo sie auf Rot steht.","","","62",99,19092
"64",64,"Diese Energiewende — so umstritten sie bei vielen lange Zeit war und zum Teil immer noch ist — ist dann, wenn wir unsere Klimaschutzverpflichtungen ernst nehmen, der einzige Weg, um im Energiebereich unser Wirtschaftsmodell, unser Sozialmodell auch in Zukunft klimafreundlich zu erhalten.","","","63",99,19092
"65",65," Wenn wir wollen, dass die Energiewende gelingt, dann brauchen wir eben nicht nur die erneuerbaren Energien, dann brauchen wir auch die Stromleitungen.","","","64",99,19092
"66",66," Es werden Leitungen sein, die länger sind als früher, weil der Strom in der Energiewende in ländlichen Regionen produziert und in städtischen und Ballungsgebieten verbraucht wird.","","","65",99,19092
"67",67," Das wissen alle Beteiligten.","","","66",99,19092
"68",68," Das ist in der täglichen Praxis nicht immer einfach zu erklären, aber es gehört dazu, damit das große Projekt gelingt.","","","67",99,19092
"69",69," Deshalb bedanke ich mich noch einmal ganz herzlich für Ihre aller Unterstützung.","","","68",99,19092
"70",70,"Vielen Dank.","","","69",99,19092
"71",71,"Vizepräsident Dr.
 Hans-Peter ","","","70",99,19092
