"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",20,19106
"2",2," Die nächste Frage stellt Dr.","","","01",20,19106
"3",3," Marco Buschmann, FDP.","","","02",20,19106
"4",4,"Dr.","","","03",20,19106
"5",5," Marco Buschmann:","","","04",20,19106
"6",6,"Frau Bundeskanzlerin, ich möchte zurückkommen auf den Vorschlag des Innenministers und eines Parlamentarischen Staatssekretärs Ihrer Regierung, in der Auseinandersetzung mit Extremisten Grundrechte nach Artikel 18 des Grundgesetzes zu entziehen.","","","05",20,19106
"7",7," Nach demtz ist die Bundesregierung ; unter anderem - zuständig dafür, ein solches Verfahren einzuleiten.","","","06",20,19106
"8",8," Sie müssten also auch persönlich daran mitwirken.","","","07",20,19106
"9",9," Vor dem Hintergrund, dass diese Verfahren immer erfolglos waren, möchte ich Sie fragen:","","","08",20,19106
"10",10," Halten Sie diese Vorschläge für klug eingedenk der Tatsache, dass sich rechte Hetzer als Märtyrer stilisieren können und durch dieses Ausnahmeverfahren eine Bühne bekommen und im Falle, dass es erfolglos ist, möglicherweise sogar von sich behaupten, durch das Bundesverfassungsgericht reingewaschen zu sein?Dr.","","","09",20,19106
"11",11," Angela Merkel, Bundeskanzlerin:","","","10",20,19106
"12",12,"Also, ich konzentriere mich — ich habe es schon gesagt — auf andere Aktivitäten im Kampf gegen den Rechtsextremismus und habe nicht die Absicht, Grundrechte zu entziehen.","","","11",20,19106
"13",13," Dennoch ist im Zuge der Meinungsbildung der Hinweis nicht verboten, dass unser Grundgesetz interessanterweise einen solchen Artikel enthält.","","","12",20,19106
"14",14," Dr.","","","13",20,19106
"15",15," Marco Buschmann:","","","14",20,19106
"16",16,"Nun hat der Parlamentarische Staatssekretär, der diesen Vorschlag gemacht hat, heute ganz konkret davon gesprochen, dass er Bloggern die Grundrechte entziehenDr.","","","15",20,19106
"17",17," Marco Buschmannmöchte.","","","16",20,19106
"18",18," Ist Ihnen ein Blogger oder eine Äußerung von Herrn Seehofer oder von Herrn Tauber über einen Blogger bekannt, auf den die Voraussetzungen des Artikels 18 Grundgesetz heute zutreffen könnten?Dr.","","","17",20,19106
"19",19," Angela Merkel, Bundeskanzlerin:","","","18",20,19106
"20",20," Nein.","","","19",20,19106
"21",21,"Präsident Dr.
 Wolfgang ","","","20",20,19106
