"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",121,19104
"2",2,"Vielen Dank, Herr Kollege Frei.","","","01",121,19104
"3",3," — Als letzter Redner zu diesem Tagesordnungspunkt erhält das Wort der Kollege Josef Oster, CDU/CSU.","","","02",121,19104
"4",4,"Josef Oster:","","","03",121,19104
"5",5,"Verehrter Herr Präsident! Meine verehrten Kolleginnen und Kollegen! Wir verfügen in Deutschland über eine Polizei, die in unserer Bevölkerung höchstes Ansehen genießt.","","","04",121,19104
"6",6," Wir verfügen über eine Polizei, die hervorragend ausgebildet ist.","","","05",121,19104
"7",7," Und wir verfügen über eine Polizei, die uneingeschränkt auf einem rechtsstaatlichen Fundament arbeitet.","","","06",121,19104
"8",8," Das sind Werte, meine sehr geehrten Damen und Herren, die wir selbst häufig nicht hoch genug würdigen.","","","07",121,19104
"9",9," Auch dafür ist die heutige Debatte ein willkommener Anlass.","","","08",121,19104
"10",10," Liebe Kolleginnen und Kollegen, unsere Polizei genießt auch international höchste Anerkennung.","","","09",121,19104
"11",11," Die Beamtinnen und Beamten sind aufgrund ihrer Kompetenz und Erfahrung beste Botschafter für das positive Ansehen unseres Landes.","","","10",121,19104
"12",12," Wir wollen, dass Deutschland international eine noch stärkere Verantwortung für Frieden, Sicherheit und Entwicklung übernimmt.","","","11",121,19104
"13",13," Das schließt eben auch den Einsatz von Polizistinnen und Polizisten im Ausland ein.","","","12",121,19104
"14",14," Dabei übersehe ich nicht, dass wir hier nochJosef Osterein gutes Stück besser werden können.","","","13",121,19104
"15",15," Im Jahr 2017 waren durchschnittlich weniger als 200 deutsche Polizisten international im Einsatz.","","","14",121,19104
"16",16," Im Verhältnis zur Größe unseres Landes und zu den int ist das zweifelsohne deutlich zu wenig.","","","15",121,19104
"17",17," Die polizeilichen Einsatzzahlen und Herausforderungen sind aber eben auch in Deutschland in den letzten Jahren deutlich gestiegen.","","","16",121,19104
"18",18," Und die Einsatzbereitschaft in Deutschland hat selbstverständlich immer Vorrang.","","","17",121,19104
"19",19,"Liebe Kolleginnen und Kollegen, genau das hat aber unsere Bundesregierung erkannt.","","","18",121,19104
"20",20," Wir brauchen eben mehr Personal, national und auch international.","","","19",121,19104
"21",21," Wir haben einen beispiellosen Personalaufwuchs bei der Bundespolizei beschlossen; das ist schon angesprochen worden.","","","20",121,19104
"22",22," Wenn man das Jahr 2016 miteinbezieht, sind es insgesamt 8 500 Stellen, um die die Bundespolizei wachsen wird.","","","21",121,19104
"23",23," Genau das, meine sehr geehrten Damen und Herren, ist die richtige Antwort auf die neuen Herausforderungen.","","","22",121,19104
"24",24,"Für Landespolizeien haben wir hier in Berlin nicht die politische Zuständigkeit; das wissen wir.","","","23",121,19104
"25",25," Aber auch hier macht sich die Union für internationales Engagement stark.","","","24",121,19104
"26",26," Der CDU-Innenminister von Nordrhein-Westfalen, Herbert Reul, hat beispielsweise erst vor Kurzem erklärt, dass er die Zahl der nordrhein-westfälischen Beamtinnen und Beamten im Ausl loppeln wird - auch das ein Signal der Union.","","","25",121,19104
"27",27," Meine Damen, meine Herren, natürlich ist es wichtig, dass wir dabei unsere eigenen Hausaufgaben nicht vernachlässigen; auch das ist hier schon angesprochen worden.","","","26",121,19104
"28",28," Themen wie Migration, zunehmende Gewaltbereitschaft, Kleinkriminalität:","","","27",121,19104
"29",29," all das stellt unsere Polizei im Inland vor wachsende Herausforderungen.","","","28",121,19104
"30",30," Mit „eigenen Hausaufgaben“ meine ich auch die Einsätze in Europa.","","","29",121,19104
"31",31," Für eine verlässliche Sicherung unserer Außengrenzen ist der Ausbau von Frontex unerlässlich.","","","30",121,19104
"32",32," Auch das wird weitere Personalressourcen binden.","","","31",121,19104
"33",33," Genau deshalb muss der Personalaufwuchs, wie wir bereits beschlossen haben, auch in Zukunft kontinuierlich weitergehen.","","","32",121,19104
"34",34,"Meine lieben Kolleginnen und Kollegen, zum Abschluss noch ein Wort zum Antrag der Grünen.","","","33",121,19104
"35",35," Ich begrüße es ausdrücklich, dass Sie sich mit der Arbeit unserer Polizei auseinandergesetzt haben und diese Arbeit auch wertschätzen.","","","34",121,19104
"36",36," Auch sonst enthält Ihr Antrag — das will ich sagen - eine Reihe von durchaus guten und sinnvollen Anregungen.","","","35",121,19104
"37",37," Er erweckte bei mir allerdings, als ich ihn gelesen habe, zumindest ein wenig den Eindruck, dass Sie deutsche Polizisten lieber im Auslandseinsatz sehen als in unserem Land selber.","","","36",121,19104
"38",38," Das war mein persönlicher Eindruck, vielleicht habe ich mich getäuscht.","","","37",121,19104
"39",39," Aber ich würde mich jedenfalls freuen, wenn auch Sie, Kolleginnen und Kollegen von Bündnis 90/Die Grünen, den Personalaufwuchs unserer Polizei in Zukunft positiv begleiten würden.","","","38",121,19104
"40",40," Vielen Dank.
Vizeprasident Wolfgang ","","","39",121,19104
