"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",111,19092
"2",2," Gestatten Sie eine Zwischenfrage?Martin Rabanus:","","","01",111,19092
"3",3," Nein, ein FDP-Redner spricht ja gleich nach mir.","","","02",111,19092
"4",4,"Genauso ist es natürlich mit der FDP.","","","03",111,19092
"5",5," Sie hat ihren Antrag, denke ich, ohne die Kulturpolitiker geschrieben.","","","04",111,19092
"6",6," Man kann das natürlich so machen.","","","05",111,19092
"7",7," Man kann sich mit Macht gegen die Interessen der Urheberinnen und Urheber aussprechen.","","","06",111,19092
"8",8," Das entscheidet jeder für sich selbst.","","","07",111,19092
"9",9," Tatsächlich geht es — das ist die dritte Bemerkung — um ein Urheberrecht, das zu modernisieren ist.","","","08",111,19092
"10",10," Diese Modernisierung auf europäischer Ebene ist nötig.","","","09",111,19092
"11",11," Der Richtlinienentwurf ist zweieinhalb Jahre alt — das ist gesagt worden -, und die materiellen Regelungen gehen im Prinzip auf das Jahr 2001 zurück.","","","10",111,19092
"12",12," Hier besteht also wirklich Handlungsbedarf.","","","11",111,19092
"13",13," Die Richtlinie ist im Übrigen viel mehr als Artikel 13/Artikel 17.","","","12",111,19092
"14",14," An vielen Punkten ist eine Modernisierung vorgesehen.","","","13",111,19092
"15",15," Im öffentlichen Interesse sind Schrankenregelungen vorgesehen, Regelungen zur Sicherung des historischen Erbes und zur Sicherung von vergriffenen Werken.","","","14",111,19092
"16",16," Es gibt Ausnahmetatbestände für Enzyklopädien, Messengerdienste, Onlinemarktplätze, Clouddienste.","","","15",111,19092
"17",17," Wir haben eine Stärkung des Leistungsschutzrechtes für Presseverlage.","","","16",111,19092
"18",18," Martin RabanusIch finde es richtig, zu sagen, dass Newsaggregatoren wie Google News sich an der Finanzierung von Content zukünftig stärker beteiligen müssen.","","","17",111,19092
"19",19," Ich finde das richtig.","","","18",111,19092
"20",20," —- Damit habe ich nur einige Punkte genannt.","","","19",111,19092
"21",21," Lassen Sie mich noch ein paar Bemerkungen zu dem umstrittenen Artikel 13/Artikel 17 machen.","","","20",111,19092
"22",22," — Das haben Sie glücklicherweise nicht zu entscheiden.","","","21",111,19092
"23",23," Dieser Artikel, der in Teilen umstritten ist, enthält ein paar wichtige strukturbildende Punkte, die unumstritten sind.","","","22",111,19092
"24",24," Darin wird die Haftung der Plattformen geregelt.","","","23",111,19092
"25",25," Das ist richtig so.","","","24",111,19092
"26",26," Darin ist angelegt, dass wir Lizenzpflichten begründen können, und wir haben einige Ausnahmen eingebracht.","","","25",111,19092
"27",27," Unterm Strich bleibt für mich festzuhalten:","","","26",111,19092
"28",28," Diese Richtlinie ist kontrovers diskutiert worden — keine Frage —, man hätte sich eine bessere Richtlinie vorstellen können — auch keine Frage —, aber es wäre nicht vernünftig, das Gesamtpaket jetzt zum Scheitern zu bringen.","","","27",111,19092
"29",29,"Herzlichen Dank.","","","28",111,19092
"30",30," Vizepräsident Dr.
 Hans-Peter ","","","29",111,19092
