"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",17,19082
"2",2," Noch einmal Amira Mohamed Ali, Fraktion Die Line.","","","01",17,19082
"3",3,"Amira Mohamed Ali:","","","02",17,19082
"4",4,"Herzlichen Dank.","","","03",17,19082
"5",5," — Frau Ministerin, meine Fraktion ist der Auffassung:","","","04",17,19082
"6",6," Wenn man Lebensmittelverschwendung vermeiden möchte, dann ist es notwendig, es den Lebensmittelrettern möglichst einfach zu machen, Lebensmittel zu retten.","","","05",17,19082
"7",7," In diesem Zusammenhang stellen sich zwei konkrete Fragen.","","","06",17,19082
"8",8,"Erstens.","","","07",17,19082
"9",9," Viele Lebensmittelretter, die weggeworfene Lebensmittel verarbeiten und dann ausgeben wollen, sehen sich mit Haftungsfragen konfrontiert, weil sie für die Genießbarkeit der Lebensmittel haften wie ein Restaurant oder ein Supermarkt.","","","08",17,19082
"10",10," Wollen Sie an dieser Stelle eingreifen und die Haftungsregelung verändern?Zweitens.","","","09",17,19082
"11",11," Aktuell ist es strafbar, wenn man den Mülleimern von Supermärkten noch genießbare Lebensmittel entnimmt, um sie selbst zu verzehren, Stichwort „Containern“.","","","10",17,19082
"12",12," Unserer Ansicht nach ist es dringend notwendig, dies sofort zu legalisieren; denn es kann nicht sein, dass das Wegwerfen legal ist, aber die Lebensmittelrettung nicht.","","","11",17,19082
"13",13," Julia Klöckner, Bundesministerin für Ernährung und Landwirtschaft:","","","12",17,19082
"14",14," Danke für Ihre Fragen, die ich zusammen beantworte.","","","13",17,19082
"15",15,"In Deutschland ist es seit vielen Jahren üblich, dass zahlreiche Supermärkte unverkaufte und noch genießbare Lebensmittel auf freiwilliger Basis abgeben, zum Beispiel an neue soziale Bewegungen wie Foodsharing.","","","14",17,19082
"16",16," So werden jeden Tag Lebensmittel gerettet.","","","15",17,19082
"17",17," Nun geht es darum, dass wir für Geber und Nehmer zum Beispiel rechtliche Hemmnisse und Irritationen abbauen.","","","16",17,19082
"18",18," Die entsprechenden Vorschläge werden wir in den Dialogforen zusammentragen.","","","17",17,19082
"19",19,"Was das sogenannte Containern anbelangt:","","","18",17,19082
"20",20," Klar, es mag auf- und wachrütteln.","","","19",17,19082
"21",21," Dennoch unterstützen wir als Bundesregierung diese Art des „Lebensmittelrettens“ nicht.","","","20",17,19082
"22",22," Warum? Es bleibt in Deutschland verboten; denn es ist ein Eingriff ins Eigentum.","","","21",17,19082
"23",23," Im Einzelfall handelt es sich um Diebstahl oder Hausfriedensbruch.","","","22",17,19082
"24",24," Man muss auch dringend davon abraten; denn die Kühlkette ist unterbrochen, was zu Kontamination und Verderb der Waren führen kann.","","","23",17,19082
"25",25," Es können Schäden vorhanden sein, die man gar nicht sieht.","","","24",17,19082
"26",26," Da diese Lebensmittel zum Teil weitergegeben werden, spielt hier die Lebensmittelsicherheit eine Rolle.","","","25",17,19082
"27",27,"Prasident Dr.
 Wolfgang ","","","26",17,19082
