"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",9,19110
"2",2," Nächster Redner ist der Kollege Sven Kindler, Bündnis 90/Die Grünen.","","","01",9,19110
"3",3," Sven-Christian Kindler:","","","02",9,19110
"4",4,"Sehr geehrter Herr Präsident! Meine Damen und Herren! Herr Scholz, in Ihrer Rede waren ja — für Ihre Verhältnisse — sogar etwas Leidenschaft, Energie zu spüren, aber auch viel Selbstbeweihräucherung und viel Selbstlob.","","","03",9,19110
"5",5," Denn seien wir doch mal ehrlich:","","","04",9,19110
"6",6," Ohne den fetten Griff in die Rücklage, die Sie haben, hätten Sie diesen Haushalt doch nie richtig aufstellen können; dann wären Sie doch völlig blank gewesen.","","","05",9,19110
"7",7," Das ist doch die Wahrheit.","","","06",9,19110
"8",8," Die Zeiten haben sich verändert.","","","07",9,19110
"9",9," Ein ungeregelter Brexit steht vielleicht vor der Tür.","","","08",9,19110
"10",10," Weltweit eskalieren Handelskonflikte.","","","09",9,19110
"11",11," Kinder und Jugendliche gehen lautstark für Klimaschutz auf die Straße.","","","10",9,19110
"12",12," Doch wir finden keine Antworten in diesem Etat, keine Antworten im Haushalt 2020.","","","11",9,19110
"13",13," Der Energie- und Klimafonds ist ja nicht mal Teil des Entwurfs.","","","12",9,19110
"14",14," Man kann im wahrsten Sinne des Wortes sagen:","","","13",9,19110
"15",15," Das ist Stückwerk, was Sie hier abliefern.","","","14",9,19110
"16",16,"Und ich finde, ehrlich gesagt:","","","15",9,19110
"17",17," Dass es keine ökonomischen, keine klimapolitischen Antworten im Haushaltsentwurf gibt, ist brandgefährlich in dieser Situation.","","","16",9,19110
"18",18,"Wir haben große Herausforderungen, große Fragen, die uns beschäftigen:","","","17",9,19110
"19",19," Klima, Digitalisierung, gleichwertige Lebensverhältnisse.","","","18",9,19110
"20",20," Um das zu bewältigen, müssen wir viel investieren.","","","19",9,19110
"21",21," Wir sagen klar:","","","20",9,19110
"22",22," Investitionen haben eine positive Rendite.","","","21",9,19110
"23",23," Sie rechnen sich.","","","22",9,19110
"24",24," Sie bringen mehr Lebensqualität, mehr Wohlstand, und sie stabilisieren übrigens auch die Konjunktur.","","","23",9,19110
"25",25,"Das, was Sie behauptet haben, Herr Scholz, ist falsch.","","","24",9,19110
"26",26," Sie frieren in der Finanzplanung die Investitionen ein.","","","25",9,19110
"27",27," Insgesamt, gemessen an den Ausgaben, sinkt die Investitionsquote sogar.","","","26",9,19110
"28",28," Das heißt, Sie senken hier eigentlich Investitionen.","","","27",9,19110
"29",29," Ich fordere Sie auf:","","","28",9,19110
"30",30," Gehen Sie runter von dieser Investitionsbremse, Herr Scholz! Das liegt natürlich auch daran, Herr Scholz, dass das Einzige, worauf Sie sich mit der Union im Haushalt einigen können, die schwarze Null ist.","","","29",9,19110
"31",31," Das ist der Kitt, der Sie noch zusammenhält, und das, obwohl wir sehr, sehr große Investitionsbedarfe haben, insbesondere beim Klimaschutz.","","","30",9,19110
"32",32," Gleichzeitig sind wir in der Situation, dass der Bund momentan an zehnjährigen Bundesanleihen sogar Geld verdient.","","","31",9,19110
"33",33," Trotzdem klammern Sie sich krampfhaft zusammen mit der Union an dem Dogma „schwarze Null“ fest.","","","32",9,19110
"34",34,"Das Spannende ist, dass inzwischen viele Teile der Wirtschaft, viele Okonomen Ihnen da vehement widersprechen:","","","33",9,19110
"35",35," Michael Hüther, der BDI, viele Ökonomen.","","","34",9,19110
"36",36," Und nicht nur die, Herr Scholz; auch in Ihrer eigenen Partei habe ich wahrgenommen, dass die meisten Bewerber für den SPD-Parteivorsitz inzwischen sagen:","","","35",9,19110
"37",37," Hören Sie auf, sich an der schwarzen Null festzubeißen! Hören Sie auf mit diesem Dogma, und sorgen Sie jetzt endlich für Investitionen! Bei der Union kann ich das sogar ein bisschen verstehen.","","","36",9,19110
"38",38," Die Union hat sonst nicht so viel als Markenkern, wofür sie eigentlich steht.","","","37",9,19110
"39",39," Deswegen ist die schwarze Null quasi eine Art Ersatzreligion, so eine heilige Kuh für die Union geworden.","","","38",9,19110
"40",40," Ich finde, Peter Ramsauer hat es sehr ehrlich benannt.","","","39",9,19110
"41",41," Er hat gesagt, die schwarze Null sei identitätsstiftend für die Union.","","","40",9,19110
"42",42," Es ist ja schön für die Union und auch schön für ihr Gruppengefühl, dass das ihre Identität stiftet, nur hatSven-Christian Kindler das mit kluger Haushaltspolitik und kluger Wirtschaftspolitik einfach rein gar nichts zu tun.","","","41",9,19110
"43",43," Wir sagen klar:","","","42",9,19110
"44",44," Es geht nicht nur um den Haushalt 2020, tiber den wir heute diskutieren.","","","43",9,19110
"45",45," Es geht um das nächste Jahrzehnt.","","","44",9,19110
"46",46," Wir wollen ein Jahrzehnt der Zukunftsinvestitionen.","","","45",9,19110
"47",47," Wir haben Ihnen dafür in den letzten Wochen einen Vorschlag unterbreitet.","","","46",9,19110
"48",48," Denn völlig klar ist, dass sich die großen Investitionssummen, die wir jetzt stemmen müssen — viele reden von mehreren Hundert Milliarden Euro, die das bedeuten wird -, nicht allein aus dem laufenden Haushalt werden finanzieren lassen.","","","47",9,19110
"49",49," Deswegen schlagen wir vor — die Schuldenbremse nicht abzuschaffen; wir wollen sie erhalten —, die Schuldenbremse zu ergänzen um einen Investitionsmotor.","","","48",9,19110
"50",50," Wir wollen neue öffentliche Investitionsgesellschaften und einen Bundesinvestitionsfonds gründen.","","","49",9,19110
"51",51," Wir haben deutlich gesagt:","","","50",9,19110
"52",52," Wir wollen klare Grenzen dafür ziehen, klare Kriterien, das heißt:","","","51",9,19110
"53",53," unter 60 Prozent — Maastricht —, maximal 1 Prozent vom BIP.","","","52",9,19110
"54",54," Es geht um Nettoinvestitionen, nicht um konsumtive Ausgaben.","","","53",9,19110
"55",55," Es geht um neue wertsteigernde Investitionen, die wir tätigen wollen.","","","54",9,19110
"56",56," Das ist unser Angebot.","","","55",9,19110
"57",57," Das ist unser Vorschlag.","","","56",9,19110
"58",58," So kann man die Investitionen des Bundes verdoppeln, und das ist angesichts der Herausforderungen auch dringend notwendig.","","","57",9,19110
"59",59," Mit unserem Vorschlag für eine große Investitionsoffensive bis 2030 sorgen wir dafür, dass sich Länder und Kommunen, die Wirtschaft, die Bauwirtschaft auch darauf einstellen können.","","","58",9,19110
"60",60," Wir schaffen Planungssicherheit, wir schaffen Verlässlichkeit, damit sie ihre Kapazitäten erweitern und mehr Personal einstellen.","","","59",9,19110
"61",61," Denn warum flieBen denn Investitionsmittel zum Teil nicht ab? Weil es keine Verlässlichkeit gibt.","","","60",9,19110
"62",62," Das ist doch auch die Verantwortung der Bundesregierung.","","","61",9,19110
"63",63," Wie war das in den letzten Jahren, sei es unter Herrn Schäuble, sei es unter Herrn Scholz? Da liegt doch die klare Verantwortung.","","","62",9,19110
"64",64," Es gab eine Zickzack-Investitionspolitik, die nach Kassenlage gemacht wurde.","","","63",9,19110
"65",65," Da gab es mal hier ein Sonderprogramm, dann gab es wieder nix, da ein Sonderprogramm, dann wieder nix.","","","64",9,19110
"66",66," So kann man natürlich keine Planung vorantreiben.","","","65",9,19110
"67",67," Das ist keine lange Linie.","","","66",9,19110
"68",68," Das ist doch die Wahrheit.","","","67",9,19110
"69",69," Wir sagen Ihnen:","","","68",9,19110
"70",70," Jetzt ist der richtige Zeitpunkt gekommen, die niedrigen Zinsen zu nutzen, um eine große Offensive für Klimaschutz, für Digitalisierung nach vorne zu bringen und das auch über Kredite zu ermöglichen.","","","69",9,19110
"71",71," Wir fordern Sie auf:","","","70",9,19110
"72",72," Handeln Sie jetzt! Die Zukunft gibt es nämlich nicht zum Nulltarif.","","","71",9,19110
"73",73," Man muss jetzt investieren und darf sich nicht an die schwarze Null klammern.","","","72",9,19110
"74",74,"Vielen Dank.","","","73",9,19110
"75",75,"Präsident Dr.
 Wolfgang ","","","74",9,19110
