"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",76,19131
"2",2,"Vielen Dank, Herr Kollege Rainer.","","","01",76,19131
"3",3," — Als Nächster hat das Wort der Kollege Michael Leutert, Fraktion Die Linke.","","","02",76,19131
"4",4," Michael Leutert:","","","03",76,19131
"5",5,"Herr Präsident! Liebe Kolleginnen und Kollegen! Lieber Alois, damit du noch ein bisschen verlegener wirst:","","","04",76,19131
"6",6," Auch ein Linker möchte sich bedanken und dich loben.","","","05",76,19131
"7",7," Die Zusammenarbeit war immer sehr fair, sehr kollegial.","","","06",76,19131
"8",8," Mir hat es Spaß gemacht.","","","07",76,19131
"9",9," Für deine neue Aufgabe wünsche ich dir viel Glück und viel Kraft.","","","08",76,19131
"10",10,"Allerdings, liebe Kolleginnen und Kollegen, war es das jetzt mit den lieben Worten.","","","09",76,19131
"11",11," Frau Ministerin, im Bereich „Demokratieförderung, Extremismusbekämpfung“ ist ihr Haushalt eine Katastrophe, ein Totalausfall.","","","10",76,19131
"12",12," Das Programm „Demokratie leben!“, das sich mit Extremismusbekämpfung beschäftigt, das gegen Menschenfeindlichkeit vorgehen soll, machen Sie kaputt, und zwar in einer Zeit, wo wir in Ostdeutschland drei Wahlen hatten, wo Nazis in Parlamente eingezogen sind, in einer Zeit, wo wir in den Kommunen in Ostdeutschland ein Klima haben, das dadurch gekennzeichnet ist, dass die AfD jedes Projekt, das mehr Toleranz und Vielfalt in der Öffentlichkeit fördert, angreift.","","","11",76,19131
"13",13," In dieser Zeit müssen wir froh sein, dass es in Kommunen, in kleinen Städten eine Handvoll Menschen gibt, die sich noch aktiv einsetzen.","","","12",76,19131
"14",14," Wir müssen froh sein, dass sie sich nicht ins Private zurückziehen, sondern etwas für den Zusammenhalt in der Gesellschaft tun.","","","13",76,19131
"15",15,"Wir hatten im Übrigen in Sachsen erst vor ein paar Tagen die Situation, dass eine SPD-Bürgermeisterin zurückgetreten ist, die sich für Vielfalt eingesetzt hat, die gegen den rassistischen Mob vorgegangen ist, weil sie die Hetze und die Drohungen nicht mehr ausgehalten hat.","","","14",76,19131
"16",16," In dieser Zeit kommen Sie und sagen:","","","15",76,19131
"17",17," Ab jetzt seid ihr auf euch allein gestellt.","","","16",76,19131
"18",18," Wir können euch nicht mehr helfen.","","","17",76,19131
"19",19," — Das halte ich für eine Katastrophe.","","","18",76,19131
"20",20," Sie stellen sich hierhin und feiern sich:","","","19",76,19131
"21",21," Es gibt wieder 8 Millionen Euro obendrauf.","","","20",76,19131
"22",22," — Diesen Betrag hat doch Ihr Genosse Finanzminister vorher gestrichen.","","","21",76,19131
"23",23," Dass die 8 Millionen Euro wieder drauf sind, ist nicht Ihr Verdienst; das ist der Verdienst der Zivilgesellschaft, die dagegen angegangen ist, dass gestrichen wird.","","","22",76,19131
"24",24," Sie sagen, Sie könnten nicht ohne den Finanzminister mehr Geld mobilisieren.","","","23",76,19131
"25",25," Ich verstehe es nicht:","","","24",76,19131
"26",26," In der Bereinigungssitzung gab es 45 Millionen Euro neues Projektgeld — cash.","","","25",76,19131
"27",27," Es wurde für alles Mögliche eingesetzt, aber nicht für „Demokratie leben!“, kein einziger Cent.","","","26",76,19131
"28",28," Wir bezahlen jetzt Onlinepaarberatung; das machen wir.","","","27",76,19131
"29",29,"Sie sagen:","","","28",76,19131
"30",30," Es sind Modellprojekte; die können nicht auf Dauer gefördert werden.","","","29",76,19131
"31",31," — Natürlich können sie auf Dauer gefördert werden:","","","30",76,19131
"32",32," Erstens.","","","31",76,19131
