"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",41,19090
"2",2,"Herr Kollege.","","","01",41,19090
"3",3,"Ingo Wellenreuther:","","","02",41,19090
"4",4,"Ich komme zum Ende.","","","03",41,19090
"5",5," — Als ehemaliger Richter, als Demokrat und als Karlsruher mache ich das besonders gerne und sehe schon jetzt voller Vorfreude der Realisierung des Projekts entgegen.","","","04",41,19090
"6",6," Es wird ein Vorzeigeprojekt für Deutschland und für unsere Demokratie werden, das hervorragend geeignet ist, das Vertrauen in den Rechtsstaat zu stärken.","","","05",41,19090
"7",7,"Vielen Dank.","","","06",41,19090
"8",8,"Vizeprasident Dr.
 Hans-Peter ","","","07",41,19090
