"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",49,19095
"2",2," Frau Kollegin, wollen Sie darauf antworten? — Bitte schön.","","","01",49,19095
"3",3,"Sonja Amalie Steffen:","","","02",49,19095
"4",4," Ich lasse mir von Ihnen mit Sicherheit nicht den Mund verbieten, Herr Kollege.","","","03",49,19095
"5",5," Dass Ihre Kandidaten nicht gewählt werden, ist Demokratie.","","","04",49,19095
"6",6," Damit müssen Sie sich abfinden.","","","05",49,19095
"7",7," So geht es zu im Parlament.","","","06",49,19095
"8",8," Nun zu dem Zitat.","","","07",49,19095
"9",9," Mein Zitat war wörtlich der aktuellen Ausgabe der „Frankfurter Allgemeinen Sonntagszeitung“ entnommen.","","","08",49,19095
"10",10," Schauen Sie hinein!Jetzt noch ein wörtliches Zitat von Ihnen.","","","09",49,19095
"11",11," Herr Gauland hat gesagt - ich zitiere wörtlich -:","","","10",49,19095
"12",12,"Sonja Amalie SteffenWenn man Krieg haben will in diesem Bundestag, dann kann man auch Krieg kriegen.","","","11",49,19095
"13",13,"Das gehört sich wirklich nicht.","","","12",49,19095
"14",14," Vizepräsident Dr.
 Hans-Peter ","","","13",49,19095
