"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",34,19127
"2",2,"Liebe Kolleginnen und Kollegen, ich darf Ihnen das von den Schriftführerinnen und Schriftführern ermittelte Ergebnis der namentlichen Abstimmung über die Beschlussempfehlung des Finanzausschusses zu dem Antrag der FDP „Erhalt und Verbesserung der Wettbewerbsfähigkeit der deutschen Wirtschaft durch eine moderne Unternehmensbesteuerung“ bekannt geben:","","","01",34,19127
"3",3," Abgegeben wurden 651 Stimmen.","","","02",34,19127
"4",4," Mit Ja haben gestimmt 495, mit Nein haben gestimmt 155, Enthaltungen 1.","","","03",34,19127
"5",5," Die Beu re des Ausschusses ist damit angenommen.","","","04",34,19127
"6",6,"D Anlage 3Klaus-Dieter Gröhler Michael Grosse-BrömerAndreas Jung Ingmar JungAstrid Grotelüschen Alois KarlMarkus Grübel Anja Karliczek Manfred Grund Torbjörn Kartes Oliver Grundmann Volker Kauder Monika Grütters Dr.","","","05",34,19127
"7",7," Stefan Kaufmann Fritz Güntzler Ronja KemmerOlav Gutting Roderich Kiesewetter Christian Haase Michael Kießling Florian Hahn Dr.","","","06",34,19127
"8",8," Georg Kippels Jürgen Hardt Volkmar Klein Matthias Hauer Axel KnoerigMark Hauptmann Jens KoeppenDr.","","","07",34,19127
"9",9," Matthias Heider Markus Koob Mechthild Heil Carsten Körber Thomas Heilmann Alexander Krauß Frank Heinrich Gunther Krichbaum Mark Helfrich Dr.","","","08",34,19127
"10",10," Günter Krings Rudolf Henke Rüdiger Kruse Michael Hennrich Michael KufferMarc Henrichmann Dr.","","","09",34,19127
"11",11," Roy Kühne Ansgar Heveling Dr.","","","10",34,19127
"12",12," Dr.","","","11",34,19127
"13",13," h.","","","12",34,19127
"14",14," c.","","","13",34,19127
"15",15," Karl A.","","","14",34,19127
"16",16," Lamers Christian Hirte Andreas G.","","","15",34,19127
"17",17," Lämmel Dr.","","","16",34,19127
"18",18," Heribert Hirte Katharina Landgraf Alexander Hoffmann Ulrich LangeKarl HolmeierDr.","","","17",34,19127
"19",19," Hendrik Hoppenstedt Erich Irlstorfer Hans-Jürgen Irmer Thomas JarzombekDr.","","","18",34,19127
"20",20," Silke Launert Jens Lehmann Paul Lehrieder Dr.","","","19",34,19127
"21",21," Katja Leikert Dr.","","","20",34,19127
"22",22," Andreas LenzAntje LeziusAndrea LindholzDr.","","","21",34,19127
"23",23," Carsten Linnemann Patricia LipsNikolas Lébel Bernhard LoosDr.","","","22",34,19127
"24",24," Jan-Marco Luczak Daniela LudwigKarin MaagYvonne Magwas Gisela ManderlaDr.","","","23",34,19127
"25",25," Astrid Mannes Andreas Mattfeldt Stephan Mayer Dr.","","","24",34,19127
"26",26," Michael Meister Jan MetzlerDr.","","","25",34,19127
"27",27," h.","","","26",34,19127
"28",28," c.","","","27",34,19127
"29",29," Hans MichelbachDr.","","","28",34,19127
"30",30," Mathias Middelberg Dietrich Monstadt Karsten Möring Elisabeth Motschmann Axel MüllerDr.","","","29",34,19127
"31",31," Gerd MüllerSepp MüllerCarsten MüllerStefan Müller Petra Nicolaisen Michaela NollDr.","","","30",34,19127
"32",32," Georg Nüßlein Wilfried Oellers Florian OßnerJosef OsterHenning OtteIngrid Pahlmann Sylvia PantelDr.","","","31",34,19127
"33",33," Joachim Pfeiffer Stephan PilsingerDr.","","","32",34,19127
"34",34," Christoph Ploß Eckhard PolsThomas Rachel Kerstin Radomski Alexander Radwan Alois RainerDr.","","","33",34,19127
"35",35," Peter Ramsauer Eckhardt Rehberg Lothar Riebsamen Josef RiefJohannes RöringDr.","","","34",34,19127
"36",36," Norbert Röttgen Stefan Rouenhoff Erwin RüddelAlbert Rupprecht Stefan SauerAnita Schäfer Dr.","","","35",34,19127
"37",37," Wolfgang SchäubleAndreas ScheuerJana SchimkeTankred SchipanskiChristian SchmidtDr.","","","36",34,19127
"38",38," Claudia SchmidtkeNadine SchönFelix SchreinerDr.","","","37",34,19127
"39",39," Klaus-Peter SchulzeUwe SchummerArmin SchusterTorsten SchweigerDetlef SeifJohannes SelleReinhold SendkerDr.","","","38",34,19127
"40",40," Patrick Sensburg Thomas SilberhornBjörn SimonTino SorgeJens SpahnKatrin StafflerFrank SteffelDr.","","","39",34,19127
"41",41," Wolfgang Stefinger Albert Stegemann Andreas SteierSebastian Steineke Johannes Steiniger Christian Frhr.","","","40",34,19127
"42",42," von Stetten Dieter StierGero StorjohannStephan StrackeMax StraubingerKarin StrenzDr.","","","41",34,19127
"43",43," Peter TauberDr.","","","42",34,19127
"44",44," Hermann-Josef Tebroke Hans-Jürgen Thies Alexander ThromDr.","","","43",34,19127
"45",45," Dietlind Tiemann Antje TillmannMarkus UhlDr.","","","44",34,19127
"46",46," Volker UllrichArnold VaatzOswin VeithKerstin ViereggeVolkmar Vogel Christoph de VriesKees de VriesDr.","","","45",34,19127
"47",47," Johann David Wadephul Marco WanderwitzNina WarkenKai WegnerAlbert H.","","","46",34,19127
"48",48," WeilerDr.","","","47",34,19127
"49",49," Anja WeisgerberPeter Weiß Sabine Weiss Ingo Wellenreuther Marian WendtKai WhittakerAnnette Widmann-MauzBettina Margarethe WiesmannKlaus-Peter WillschElisabeth WinkelmeierBeckerOliver WittkeEmmi ZeulnerPaul ZiemiakDr.","","","48",34,19127
"50",50," Matthias ZimmerSPDIngrid Arndt-Brauer Heike Baehrens Ulrike Bahr Nezahat Baradari Doris Barnett Dr.","","","49",34,19127
"51",51," Matthias Bartke Sören Bartol Bärbel Bas Lothar Binding Dr.","","","50",34,19127
"52",52," Eberhard Brecht Leni Breymaier Dr.","","","51",34,19127
"53",53," Karl-Heinz Brunner Katrin Budde Dr.","","","52",34,19127
"54",54," Lars Castellucci Bernhard Daldrup Dr.","","","53",34,19127
"55",55," Karamba Diaby Esther Dilcher Sabine Dittmar Dr.","","","54",34,19127
"56",56," Wiebke Esdar Saskia Esken Yasmin Fahimi Dr.","","","55",34,19127
"57",57," Johannes Fechner Dr.","","","56",34,19127
"58",58," Fritz Felgentreu Dr.","","","57",34,19127
"59",59," Edgar Franke Ulrich Freese Dagmar Freitag Martin Gerster Angelika Glöckner Timon Gremmels Kerstin Griese Michael Groß Uli Grötsch Bettina Hagedorn Rita Hagl-Kehl Metin Hakverdi Sebastian Hartmann Dirk Heidenblut Hubertus Heil Gabriela Heinrich Marcus Held Wolfgang Hellmich Dr.","","","58",34,19127
"60",60," Barbara Hendricks Gustav HerzogGabriele Hiller-OhmThomas HitschlerDr.","","","59",34,19127
"61",61," Eva HöglFrank JungeJosip JuratovicThomas JurkOliver KaczmarekJohannes KahrsElisabeth KaiserRalf KapschackGabriele KatzmarekCansel KiziltepeArno KlareLars KlingbeilDr.","","","60",34,19127
"62",62," Barbel KoflerDaniela KolbeElvan Korkmaz-EmreAnette KrammeChristine LambrechtChristian LangeDr.","","","61",34,19127
"63",63," Karl LauterbachKirsten LühmannHeiko MaasIsabel MackensenKatja MastChristoph MatschieHilde MattheisDr.","","","62",34,19127
"64",64," Matthias MierschKlaus MindrupSusanne MittagClaudia MollSiemtje MöllerBettina MüllerDetlef MüllerMichelle MünteferingDr.","","","63",34,19127
"65",65," Rolf MützenichDietmar NietanUlli NissenThomas OppermannJosephine OrtlebMahmut ÖzdemirAydan ÖzoguzMarkus PaschkeChristian PetryDetlev PilgerFlorian PostAchim PostFlorian PronoldDr.","","","64",34,19127
"66",66," Sascha RaabeMartin RabanusAndreas RimkusSönke RixDennis RohdeDr.","","","65",34,19127
"67",67," Martin RosemannRene RöspelSusann RüthrichBernd RützelSarah Ryglewski Johann SaathoffAxel Schäfer Dr.","","","66",34,19127
"68",68," Nina Scheer Marianne Schieder Udo SchiefnerDr.","","","67",34,19127
"69",69," Nils SchmidUwe SchmidtUlla Schmidt Dagmar Schmidt Johannes Schraps Michael SchrodiDr.","","","68",34,19127
