"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",53,19120
"2",2,"Vielen Dank, Herr Bundesminister.","","","01",53,19120
"3",3," — Liebe Kolleginnen und Kollegen, damit schließe ich die Regierungsbefragung.","","","02",53,19120
"4",4," Wir können morgen im Ältestenrat überlegen, ob wir bei der Regierungsbefragung flexibler in der Zeitgestaltung sein wollen; denn es ist ja jetzt sehr lebhaft geworden, auch spontan, so wie ich das angeregt hatte.","","","03",53,19120
"5",5," Aber heute halte ich mich an das, was wir verabredet haben.","","","04",53,19120
"6",6," Deswegen bitte ich Sie um Nachsicht.","","","05",53,19120
"7",7,"Die Sitzungsleitung tbernimmt jetzt der Kollege Kubicki.
Vizepräsident Wolfgang ","","","06",53,19120
