"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",56,19119
"2",2," Sie haben es gar nicht gemerkt, schade.","","","01",56,19119
"3",3," Aber ich erinnere Sie gern.","","","02",56,19119
"4",4," Kommen Sie zum Schluss.","","","03",56,19119
"5",5,"Bernhard Daldrup:","","","04",56,19119
"6",6,"Wir haben, glaube ich, ein ziemlich gutes Gesetz gemacht und uns sogar um Detailprobleme wie die Inseln ohne Festlandanschluss gekümmert.","","","05",56,19119
"7",7," Wir beschließen ein gutes Gesetz für ein solidarisches Land, das wir stabilisieren wollen.","","","06",56,19119
"8",8," Ich hoffe, Sie machen mit.","","","07",56,19119
"9",9,"Danke schön.
 Vizepräsidentin Claudia ","","","08",56,19119
