"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",143,19115
"2",2," Für die CDU/CSU-Fraktion hat das Wort der Kollege Dr.","","","01",143,19115
"3",3," Jan-Marco Luczak.","","","02",143,19115
"4",4," Dr.","","","03",143,19115
"5",5," Jan-Marco Luczak:","","","04",143,19115
"6",6,"Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Lieber Chris Kühn - das Gleiche gilt auch für Caren Lay -, ich weiß eigentlich gar nicht, was Sie in den letzten Monaten und Jahren gemacht haben.","","","05",143,19115
"7",7," Vielleicht hätten Sie einmal aufmerksam zuhören sollen, was wir als Große Koalition beschlossen haben.","","","06",143,19115
"8",8," Wenn Sie hier sagen, die Große Koalition habe beim Mietrecht versagt, habe nicht geliefert, dann schauen Sie sich einmal an, was wir ins Gesetzblatt geschrieben haben.","","","07",143,19115
"9",9," Wir haben gerade zum Jahresanfang ein wirklich umfassendes Mieterschutzgesetz auf den Weg gebracht.","","","08",143,19115
"10",10," Wir haben die Mietpreisbremse verscharft.","","","09",143,19115
"11",11," Wir haben die Auskunftspflicht eingeführt und dadurch für mehr Transparenz auf dem Wohnungsmarkt gesorgt.","","","10",143,19115
"12",12," Wir sind bei den Modernisierungskosten hart herangegangen, indem wir den Umlagesatz von 11 auf 8 Prozent gesenkt haben.","","","11",143,19115
"13",13," Wir haben die Kosten gedeckelt, dass man nicht mehr als 3 Euro pro Quadratmeter umlegen kann und bei niedrigen Mietverhältnissen nur 2 Euro pro Quadratmeter.","","","12",143,19115
"14",14," Wir haben einen Ord eschaffen gegen die schwarzen Schafe, die es gibt und die die Leute bewusst herausmodernisieren.","","","13",143,19115
"15",15," a toatl teaAll das haben wir gemacht, und es ist auch richtig so, dass wir das gemacht haben.","","","14",143,19115
"16",16," Wir sind noch weiter gegangen.","","","15",143,19115
"17",17," Wir haben jetzt im Koalitionsausschuss vereinbart:","","","16",143,19115
"18",18," Wir schauen uns die Mietpreisbremse noch einmal an und verlängern sie.","","","17",143,19115
"19",19," Wir haben vor, den Betrachtungszeitraum bei der ortsüblichen Vergleichsmiete von vier auf sechs Jahre zu verlängern.","","","18",143,19115
"20",20," Also:","","","19",143,19115
"21",21," Man muss schon anerkennen, dass dort viel passiert.","","","20",143,19115
"22",22,"Ich will aber eines sagen — das gilt für Die Linke, die hier Vorschläge macht, aber auch für unseren Koalitionspartner —:","","","21",143,19115
"23",23," Frau Nissen hat gerade dargestellt, was die SPD-Fraktion mit dem Papier zur Wohnwende noch alles machen will.","","","22",143,19115
"24",24," Es zerstört das Vertrauen in die Verlässlichkeit der Politik, wenn wir hier im Wochenrhythmus neue Eingriffe in das Mietrecht fordern.","","","23",143,19115
"25",25," Das geht auch deshalb nicht, weil nämlich bei diesen Bedingungen irgendwann keiner mehr baut, weil niemand mehr Vertrauen hat, dass es verlässliche Rahmenbedingungen gibt.","","","24",143,19115
"26",26," Deswegen müssen wir irgendwann zu einem Schluss kommen, die Dinge umsetzen und dann einfach wirken lassen, meine Damen und Herren.","","","25",143,19115
"27",27," Vizepräsident Dr.
 Hans-Peter ","","","26",143,19115
