"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",66,19091
"2",2,"Herzlichen Dank.","","","01",66,19091
"3",3," — Eine weitere Nachfrage stellt der Kollege Hilse, AfD-Fraktion.","","","02",66,19091
"4",4,"Karsten Hilse:","","","03",66,19091
"5",5,"Vielen Dank, Herr Präsident.","","","04",66,19091
"6",6," — Die Frage geht wahrscheinlich an das Bundesministerium für Wirtschaft und Energie.
 Wie hoch schätzt das Bundesministerium für Wirtschaft und Energie bei 10 Millionen Elektrofahrzeugen den Mehrbedarf an Leistung — bitte in Gigawatt — ein?Vizepräsident Wolfgang ","","","05",66,19091
