"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",109,19083
"2",2," Herr Kollege, der Kollege Sepp Müller würde gerne eine Zwischenfrage stellen.","","","01",109,19083
"3",3," Gestatten Sie das?Harald Ebner:","","","02",109,19083
"4",4," Gerne.","","","03",109,19083
"5",5,"Sepp Müller:","","","04",109,19083
"6",6,"Sehr geehrter Herr Kollege, Sie sprachen ja von Ängsten, die unbegründet sind.","","","05",109,19083
"7",7," Wenn ich mir den Wolfsmonitoringbericht der grünen Umweltministerin Claudia Dalbert in Sachsen-Anhalt durchlese, darf ich feststellen, dass von 2012 bis 2017 die Populationszahlen in Sachsen-Anhalt um 460 Prozent gestiegen sind.","","","06",109,19083
"8",8," Alleine von den jetzt knapp 100 Wölfen leben 60 Prozent auf einem Zehntel der Fläche.","","","07",109,19083
"9",9," Diese Fläche erstreckt sich über den Bereich Anhalt und Wittenberg.","","","08",109,19083
"10",10," Sie meinen, die Ängste seien unbegründet.","","","09",109,19083
"11",11," Ich möchte Sie mit weiteren Zahlen des Wolfsmonitoringberichts konfrontieren und mit einer Frage enden.","","","10",109,19083
"12",12," In dieser Fläche sind 60 Prozent der Nutztierrisse offiziell nachgewiesen worden, unter anderem bei einem Muffelwildbestand im Flaming, bei Wildpferden in der Oranienbaumer Heide; die trachtigen Stuten wurden in den Wulfener Bruch gebracht.","","","11",109,19083
"13",13," Darüber hinaus war ein Dammwildgehege betroffen, welches vollkommen abgeschottet war.","","","12",109,19083
"14",14," Von den Schäfern, die weitere 30 Schafe verloren haben, deren jährliches Durchschnittseinkommen sich auf ein Drittel des unsrigen beläuft, ganz zu schweigen.","","","13",109,19083
"15",15," Ich stelle Ihnen als Grünen die Frage:","","","14",109,19083
"16",16," Ist es wirklich Ihr Arten- und Tierschutz, die eine Art des Wolfes mehr schützen zu wollen als Muffelwild, Schafswild, Kühe und Dammwild? Ist das wirklich Ihr Ansinnen, oder geben Sie mir recht, dass wir in einzelnen Regionen in Deutschland mittlerweile eine Populationsgrenze überschritten haben, deren Regulierung notwendig ist? Harald Ebner:","","","15",109,19083
"17",17,"Das Ansinnen, das Sie uns unterstellen wollen, ist in meinem bisherigen Beitrag an keiner Stelle aufgetaucht; das wüssten Sie, wenn Sie mir zugehört hätten.","","","16",109,19083
"18",18," Das kann ich weit von uns weisen, da wir diese Klassifizierung so nicht vornehmen.","","","17",109,19083
"19",19," Sie haben ein paar Beispiele genannt.","","","18",109,19083
"20",20," Und wenn Sie mir zugehört hätten, wüssten Sie, dass ich von realen Einschränkungen und von diffusen Ängsten gesprochen habe.","","","19",109,19083
"21",21," Das, was Sie genannt haben, waren die realen Einschränkungen.","","","20",109,19083
"22",22," Das ist das, was tatsächlich passiert.","","","21",109,19083
"23",23," Das will niemand von der Hand weisen, darüber müssen wir auch reden, und das tun wir auch heute.","","","22",109,19083
"24",24," Aber diese Anträge, die heute vorliegen, schüren mit reißerischen Titeln wie „Gefahr Wolf - Unkontrollierte Population stoppen“ diffuse Ängste.","","","23",109,19083
"25",25," Was ist zu tun für die Weidetierhalter? Darum geht es heute, hier und jetzt; da war ich stehen geblieben.","","","24",109,19083
"26",26," Wir brauchen mehr finanzielle Mittel für Schadensprävention, Herr Kollege, und für die entsprechend Wolfsgeschädigten.","","","25",109,19083
"27",27," Und in klar definierten Fällen müssen Wölfe, die mehrfach aufgefallen sind und Herdenschutzmaßnahmen überwunden haben, auch geschossen werden können.","","","26",109,19083
"28",28," Das ist nach aktueller Gesetzeslage auch möglich, aber — das wissen wir auch — noch viel zu unzureichend erprobt von allenarald EbnerBeteiligten.","","","27",109,19083
"29",29," Da müssen im gesamten Entscheidungs- und Handlungsprozess noch Erfahrungen gesammelt werden, damit es künftig schnell und effizient ablaufen kann.","","","28",109,19083
"30",30," Was wir dazu nicht brauchen, ist eine Gesetzesänderung.","","","29",109,19083
"31",31," Niedersachsen, Schleswig-Holstein und andere Beispiele haben ja gezeigt, dass es geht.","","","30",109,19083
"32",32,"Vizepräsident Dr.
 Hans-Peter ","","","31",109,19083
