"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",28,19114
"2",2," Danke sehr.","","","01",28,19114
"3",3," — Fabio De Masi, Die Linke, hat als Nächster das Fragerecht.","","","02",28,19114
"4",4,"Fabio De Masi:","","","03",28,19114
"5",5,"Vielen Dank, Herr Präsident.","","","04",28,19114
"6",6," — Herr Minister, Menschen, die nicht wie Sie oder ich in der glücklichen Lage sind, sich die Miete in den Innenstädten leisten zu können, können ihr Auto häufig ja nur stehen lassen, wenn sie über hinreichend Zugang zu Bahnen oder Bussen verfügen.","","","05",28,19114
"7",7," Der Investitionsstau bei der Deutschen Bahn beträgt 57 Milliarden Euro.","","","06",28,19114
"8",8," Seit 1994 sind 6 500 Streckenkilometer stillgelegt worden.","","","07",28,19114
"9",9," Ich weiß, Sie haben das Eigenkapital bei der Deutschen Bahn jetzt etwas erhöht, aber:","","","08",28,19114
"10",10," Bis wann planen Sie, diesen Investitionsstau hier in Deutschland bei der Bahn behoben zu haben?Olaf Scholz, Bundesminister der Finanzen:","","","09",28,19114
"11",11,"Wenn Sie sich zum Beispiel die Vereinbarung, die wir zuletzt zur Finanzierung der Bahn getroffen hatten, anschauen, die LuFV, wo es um 86 Milliarden Euro in den nächsten zehn Jahren geht, und wenn Sie sich all die anderen Entscheidungen anschauen, dann sehen Sie, dass es um milliardenschwere Förderungen der Investitionstätigkeit bei der Bahn geht.","","","10",28,19114
"12",12," Das alles zusammengerechnet ergibt sehr hohe Beträge, wie Sie der Summe, die ich eben genannt habe, entnehmen können.","","","11",28,19114
"13",13,"Wenn Sie alle Gelder, die der Bundeshaushalt auf die eine oder andere Weise für den Schienenverkehr bereitstellt, zusammenrechnen, kommen Sie Jahr für Jahr auf über 20 Milliarden Euro.","","","12",28,19114
"14",14," Auch das ist eine ganze Menge GeldMit den Entscheidungen, die wir jetzt im Rahmen des Klimakabinetts getroffen haben, wird das noch mal dramatisch ausgeweitet.","","","13",28,19114
"15",15," Sie haben schon gehört, wie sehr sich die Deutsche Bahn darüber freut; so plant sie Bestellungen neuer Züge, Verbesserungen von Verkehrsverbindungen und Investitionen in die Infrastruktur.","","","14",28,19114
"16",16," Dazu gehört nicht nur die Eigenkapitalerhöhung, dazu gehört auch die permanente Anhebung der Regionalisierungsmittel.","","","15",28,19114
"17",17," Dazu gehört auch, dass wir die Mittel für die G indeverkehrsfi i g noch mal dramatisch anheben, um zum Beispiel Planungen für neue S-Bahnstrecken auf den Weg zu bringen.","","","16",28,19114
"18",18,"Präsident Dr.
 Wolfgang ","","","17",28,19114
