"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",44,19074
"2",2," Darf ich an die Redezeit erinnern?Renate Künast:","","","01",44,19074
"3",3,"Ja, ich komme zum Schluss, Frau Präsidentin.","","","02",44,19074
"4",4," — Das heißt:","","","03",44,19074
"5",5," Ernährung muss Teil der Stadtentwicklung sein.","","","04",44,19074
"6",6," Die Gemeinschaftsverpflegung von Kindergärten über Krankenhäuser bis zu Seniorenheimen muss komplett umgestellt werden.","","","05",44,19074
"7",7," Wir brauchen eine nationale Strategie, die Reduktionsziele vorgibt.","","","06",44,19074
"8",8," Wir brauchen eine Nährwertkennzeichnung, und wir müssen die Kinder schützen, was das Thema Lebensmittelwerbung angeht.","","","07",44,19074
"9",9,"Die Prämisse, meine Damen und Herren, muss sein:","","","08",44,19074
"10",10," Wir schützen die Gesundheit der Menschen, wir schützen die Kinder und nicht die Profitinteressen der Konzerne.
 So geht Ernährungswende! Vizepräsidentin Claudia ","","","09",44,19074
