"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",107,19126
"2",2," Vielen Dank.","","","01",107,19126
"3",3," — Jetzt kommen wir zu Nachfragen zu Frage 20, Steffi Lemke.","","","02",107,19126
"4",4,"Steffi Lemke:","","","03",107,19126
"5",5,"Herr Staatssekretär, ich möchte konkret auf die Dolly Ropes zu sprechen kommen.","","","04",107,19126
"6",6," Für diejenigen, die das nicht kennen:","","","05",107,19126
"7",7," Das sind Plastikfäden, die an der Unterseite von Netzen befestigt werden, um die Netze zu schützen, aber mit dem wirklich hässlichen Effekt, dass sie die Meeresumwelt massiv verschmutzen und — Sie haben es ausgeführt —- in massivem Umfang zur Strangulierung von Seevögeln führen.","","","06",107,19126
"8",8," In dem von mir erwähnten Antrag der Koalitionsfraktion wurde die Bundesregierung im Sommer 2017 aufgefordert, bis 2020 ein Verbot dieser Dolly Ropes umzusetzen, weil die Folgen eben so gravierend sind.","","","07",107,19126
"9",9," Wir haben massive Verluste von Seevögeln:","","","08",107,19126
"10",10," Es betrifft die Basstölpel; wir können die Trottellummen noch erwähnen.","","","09",107,19126
"11",11," Ich möchte gerne wissen, was konkret passiert ist, um den Auftrag des Deutschen Bundestages an die Bundesregi g tzen und ein Verbot dieser Fäden oder einen Ersatz durch umweltfreundlichere Materialien zu erreichen?Florian Pronold, Parl.","","","10",107,19126
"12",12," Staatssekretär bei der Bundesministerin für Umwelt, Naturschutz und nukleare Sicherheit:","","","11",107,19126
"13",13,"Die Bundesregierung lässt gemeinsam mit den Ländern Niedersachen und Schleswig-Holstein im Rahmen des Forschungsprojekts „Dolly Rope Suspension“ Alternativen für den Einsatz von Dolly Ropes entwickeln, zunächst in der Krabbenfischerei.","","","12",107,19126
"14",14," Eine zunehmende Anzahl von Fischereibetrieben verzichtet auf den Einsatz dieses Scheuerschutzes.","","","13",107,19126
"15",15," Die Erzeugerorganisationen Küstenfischer der Nordsee GmbH und Küstenfischer Tönning Eider usw.","","","14",107,19126
"16",16," setzen sich - ich kürze etwas ab, weil der Text in der vorgegebenen Zeit sonst nicht vorzulesen ist — bei ihren Mitgliedern für einen freiwilligen Verzicht von Dolly Ropes ein.","","","15",107,19126
"17",17," In Niedersachsen verwenden derzeit nur noch ein Drittel der Krabbenfischer Dolly Ropes.","","","16",107,19126
"18",18," Viele Betriebe beteiligen sich aktuell an dem freiwilligen Verzicht; aber eine genaue Zahl ist uns nicht bekannt.","","","17",107,19126
"19",19,"Florian Pronold,Das im Zuge der Umsetzung der EU-MeeresstrategieRahmenrichtlinie erarbeitete Maßnahmenprogramm enthält auch müllbezogene Maßnahmen zu Fischereinetzen und -geräten.","","","18",107,19126
"20",20," Es wird auf unterschiedlichen Themenfeldern dazu gearbeitet, unter anderem um die Entwicklung bzw.","","","19",107,19126
"21",21," Erforschung von geeigneten biologisch abbaubaren Materialien in Fischereigeräten zu gewährleisten.
Vizepräsidentin Claudia ","","","20",107,19126
