"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",164,19107
"2",2," Herzlichen Dank, Herr Kollege Rabanus.","","","01",164,19107
"3",3," — Damit schließe ich die Aussprache.","","","02",164,19107
"4",4,"Wir kommen zur Abstimmung über den Antrag der Fraktion der AfD auf Erhebung einer Subsidiaritätsklage auf Drucksache 19/11129.","","","03",164,19107
"5",5," Wer stimmt für diesen Antrag? — Wer stimmt dagegen? — Wer enthält sich? — Keine Enthaltungen.","","","04",164,19107
"6",6," Der Antrag ist abgelehnt.","","","05",164,19107
"7",7," Diesem Antrag zugestimmt hat die AfD-Fraktion.","","","06",164,19107
"8",8," Dagegengestimmt haben die Fraktionen der FDP, der CDU/CSU, des Bündnisses 90/Die Grünen, der SPD und die Fraktion Die Linke.","","","07",164,19107
"9",9,"Ich rufe die Tagesordnungspunkte 15 a bis c sowie Zusatzpunkt 14 auf:","","","08",164,19107
"10",10,"15.","","","09",164,19107
"11",11," a) Beratung der Beschlussempfehlung und des Berichts des Ausschusses für Verkehr und digitale Infrastruktur— zu dem Antrag der Fraktionen der CDU/ CSU und SPD Der Schiene höchste Priorität einräumen— zu dem Antrag der Abgeordneten Dr.","","","10",164,19107
"12",12," Dirk Spaniel, Wolfgang Wichle, Matthias Büttner, weiterer Abgeordneterund der Fraktion der AfD Die Eisenbahn nicht gegen andere Verkehrsträger ausspielen - Kei ne Erhöhung der Energiesteuer und CO,-Abgabe für Diesel um 30 Cent je Liter — Kein Stopp des Autobahn- und BundesstraßenbausVizepräsidentin Claudia Rothb)QO waZP 14— zu dem Antrag der Abgeordneten Torsten Herbst, Frank Sitta, Grigorios Aggelidis, weiterer Abgeordneter und der Fraktion der FDPDigitalisierung der Schiene durch Verkauf von Beteiligungen der Deutschen Bahn AG vorantreiben— zu dem Antrag der Abgeordneten SabineLeidig, Dr.","","","11",164,19107
"13",13," Gesine Lötzsch, Lorenz Gösta Beutin, weiterer Abgeordneter und der Fraktion DIE LINKEDrohenden Kollaps verhindern - Deutsche Bahn AG demokratisch umbauen— zu dem Antrag der Abgeordneten Matthias Gastel, Stefan Gelbhaar, Stephan Kühn, weiterer Abgeordneter und der Fraktion BÜNDNIS 90/ DIE GRÜNENDie Eisenbahn zum Rückgrat der Verkehrswende machenDrucksachen 19/9918, 19/7941, 19/6284, 19/7024, 19/7452, 19/11076Erste Beratung des von den Abgeordneten Jörg Cezanne, Sabine Leidig, Ingrid Remmers, weiteren Abgeordneten und der Fraktion DIE LINKE eingebrachten Entwurfs eines Gesetzes zur Aufhebung des Finanzierungskreislaufes StraßeDrucksache 19/10993 Überweisungsvorschlag:","","","12",164,19107
"14",14,"Ausschuss für Verkehr und digitale Infrastruktur zu dem Antrag der Abgeordneten Sabine Leidig, Ingrid Remmers, Andreas Wagner, weiterer Abgeordneter und der Fraktion DIE LINKEDie Bahn wieder ins ganze Land bringen — Bahnstrecken reaktivierenDrucksachen 19/9076, 19/10586Beratung des Antrags der Abgeordneten Matthias Gastel, Sven-Christian Kindler, Stefan Gelbhaar, weiterer Abgeordneter und der Fraktion BÜNDNIS 90/DIE GRÜNENGute Schienenwege braucht das Land - Erhaltung des Schienennetzes bedarfsgerecht finanzierenDrucksache 19/10638Überweisungsvorschlag:","","","13",164,19107
"15",15,"Ausschuss für Verkehr und oo pa oeuuitae Ausschuss für Wirtschaft und EAusschuss für Umwelt, Naturschutz.","","","14",164,19107
"16",16," und nukleare Sicherheit Haushaltsausschuss Nach einer interfraktionellen Vereinbarung sind für die Aussprache 38 Minuten vorgesehen.","","","15",164,19107
"17",17," — Dazu höre ich keinen Widerspruch.","","","16",164,19107
"18",18," Dann ist das so beschlossen.","","","17",164,19107
"19",19,"Ich warte, bis im Raum ein bisschen Ruhe eingekehrt ist.","","","18",164,19107
"20",20," Darf ich Sie bitten, schnellstmöglich die Plätze zu wechseln oder einzunehmen?Ich eröffne die Aussprache.","","","19",164,19107
"21",21," Das Wort hat der Staatssekretär Enak Ferlemann für die Bundesregierung.","","","20",164,19107
"22",22," Er ist qualitativ hochwertig, und er umfasst all die Punkte, die die Eisenbahnpolitik der nächsten Jahre bestimmen sollten und müssen.","","","21",164,19107
"23",23,"Wir haben noch einen weiten Weg vor uns, aber ich glaube, wir sind schon große Schritte vorangekommen.","","","22",164,19107
"24",24," Wir werden es in dieser Legislaturperiode schaffen, die Eisenbahn zum Verkehrsmittel des 21.","","","23",164,19107
"25",25," Jahrhunderts zu machen.","","","24",164,19107
"26",26,"Glück auf dabei! Herzlichen Dank für Ihre Mithilfe, und stimmen Sie dem Antrag der Koalitionsfraktionen zu!Vielen Dank für Ihre Aufmerksamkeit.
 Vizepräsidentin Claudia ","","","25",164,19107
