"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",119,19131
"2",2," Vielen Dank, Kollege Rupprecht.","","","01",119,19131
"3",3," — Für die AfD hat das Wort der Kollege Dr.","","","02",119,19131
"4",4," Marc Jongen.","","","03",119,19131
"5",5," Dr.","","","04",119,19131
"6",6," Marc Jongen:","","","05",119,19131
"7",7,"Herr Präsident! Frau Ministerin Karliczek! Meine Damen und Herren! Mit einer Delegation des Bildungsausschusses war ich diesen Sommer in den USA auf der Jahrestagung des GAIN, des German Academic International Network.","","","06",119,19131
"8",8," Einige Hundert deutsche Wissenschaftler in den USA kommen dort jedes Jahr zusammen, um sich bei Vertretern von deutschen Universitäten und Forschungseinrichtungen über die mögliche Fortsetzung ihrer akademischen Karriere in Deutschland zu informieren.","","","07",119,19131
"9",9," Es ist beeindruckend, wie viele junge Talente aus allen wissenschaftlichen Gebieten sich dort auf engem Raum versammeln.","","","08",119,19131
"10",10," Ja, Frau Ministerin, Deutschland hat die gut ausgebildeten Menschen, wie Sie sagten, aber immer mehr von ihnen verlassen Deutschland, weil sie hier nicht die richtigen Bedingungen vorfinden — das haben Sie nicht gesagt —, und das ist unser Problem.","","","09",119,19131
"11",11," Dass eine solche Veranstaltung wie GAIN überhaupt notwendig ist, ist ein Anzeichen für gravierende Missstände im deutschen Hochschulsystem, die nämlich zu einem kontinuierlichen Verlust der besten Köpfe führen.","","","10",119,19131
"12",12," Wenn man bedenkt, dass allein im Zeitraum von 2006 bis 2016 über 4 200 hochqualifizierte Wissenschaftler aus Deutschland abgewandert sind,wenn man weiter bedenkt, dass allein an US-amerikanischen Forschungseinrichtungen 20 000 deutsche Wissenschaftler arbeiten, dann ahnt man die Dimensionen dieses Braindrain, und der hat systemische Gründe, werte Kollegen.","","","11",119,19131
"13",13," Die Bundesregierung — Sie wahrscheinlich auch — leugnet ja schlichtweg, dass es einen solchen Braindrain überhaupt gibt.","","","12",119,19131
"14",14," Die Abwanderung hochqualifizierter deutscher Wissenschaftler sei nicht Gegenstand amtlicher Statistiken.","","","13",119,19131
"15",15," Stattdessen sprechen Sie von einer Braincirculation:","","","14",119,19131
"16",16," Die einen gehen, die anderen kommen.","","","15",119,19131
"17",17," — Ja, die Hochqualifizierten gehen, und es kommen die gering bis gar nicht Qualifizierten.","","","16",119,19131
"18",18," Das ist doch die Realität.","","","17",119,19131
"19",19," Diese Probleme verschwinden auch nicht, indem man sie statistisch nicht erfasst.","","","18",119,19131
"20",20," Deutschland muss endlich attraktiv für Hochqualifizierte und, ja, auch grundsätzlich unattraktiv für Nichtqualifizierte werden, meine Damen und Herren.","","","19",119,19131
"21",21," Als Akutmaßnahme fordern wir im aktuellen Haushalt die Erhöhung der Mittel für Leistungswettbewerbe und Preise für den wissenschaftlichen Nachwuchs um 5 Millionen auf 18 Millionen Euro, und wir fordern 10 Millionen Euro mehr für den Sofja-Kovalevskaja-Preis der Alexander-von-Humboldt-Stiftung, der es besonders begabten deutschen Wissenschaftlern ermöglicht, nach Deutschland zurückzukehren.","","","20",119,19131
"22",22," Aber das ist alles letztlich Kosmetik.","","","21",119,19131
"23",23," Wir müssen die Ursachen für die Abwanderung der Hochqualifizierten beseitigen.","","","22",119,19131
"24",24," Die liegen neben dem materiellen Aspekt der Unterbezahlung vieler Wissenschaftler und der Unsicherheit ihrerDr.","","","23",119,19131
"25",25," Mare JongenKarrieren maßgeblich auch im Atmosphärischen.","","","24",119,19131
"26",26," Die Freiheit der Wissenschaft, meine Damen und Herren, steht zwar im Grundgesetz, an vielen Universitäten ist sie heute aber nicht mehr gegeben.","","","25",119,19131
"27",27," Wenn Bernd Lucke in Hamburg seine Vorlesung nicht halten kann, weil ein linksradikaler Mob ihn daran hindert, wenn die Professoren Baberowski und Münkler in Berlin von linksradikalen Gruppen jahrelang drangsaliert und diffamiert werden und die Universitätsleitungen ihnen nicht wirklich zur Seite stehen, dann zeigt das, wie bleiern sich die politische Korrektheit über das Land gelegt hat und eine kleine radikale Minderheit der Mehrheit die Spielregeln diktiert.","","","26",119,19131
"28",28," Der Deutsche Hochschulverband warnte im April dieses Jahres vor Einschränkungen der Meinungsfreiheit an deutschen Universitäten und Konstatierte einen Verfall der Debattenkultur.","","","27",119,19131
"29",29," Das ist keine Erfindung der AfD, werte Kollegen.","","","28",119,19131
"30",30," Das wird sich erst ändern, wenn man aufhört, Andersdenkende mit maximal diffamierenden Vokabeln wie „Nazi“, „Rassist“ usw.","","","29",119,19131
"31",31," zu belegen.","","","30",119,19131
"32",32," Jedes Mal, wenn Sie das hier in diesem Haus tun, geben Sie den Linksradikalen da draußen das Signal:","","","31",119,19131
"33",33," Stört diese Vorlesung! Verhindert diese Veranstaltung mit Gewalt! Ihr habt unseren Segen.","","","32",119,19131
"34",34," — So sollten wir hier im Bundestag nicht miteinander sprechen, meine Damen und Herren.","","","33",119,19131
"35",35," Wir sollten mit gutem Beispiel vorangehen.","","","34",119,19131
"36",36," Die heutige Debatte war — zumindest bis vorhin - in dieser Hinsicht durchaus vorbildlich; das sei fairerweise zugestanden.","","","35",119,19131
"37",37,"Vielen Dank.","","","36",119,19131
"38",38,"Vizepräsident Dr.
 Hans-Peter ","","","37",119,19131
