"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",52,19088
"2",2,"Wie wird die Bundesregierung gewährleisten, dass Menschen mit Behinderung sämtliche Freizeitangebote spontan besuchen und daran vollständig teilhaben können, so wie es nichtbehinderten Menschen möglich ist?Menschen mit Behinderungen haben gemäß der UN-Behindertenrechtskonvention das Recht auf gleichberechtigten Zugang zur physischen Umwelt.","","","01",52,19088
"3",3," Das gilt natürlich auch für Aktivitäten in der Freizeit.","","","02",52,19088
"4",4," Kunst, Kultur und Sport spielen eine herausragende Rolle für die Entwicklung einer inklusiven Gesellschaft.","","","03",52,19088
"5",5," Im Nationalen Aktionsplan 2.","","","04",52,19088
"6",6,"0 zur UN-Behindertenrechtskonvention gibt es daher ein eigenes Handlungsfeld „Kultur, Sport und Freizeit“, in dem die Maßnahmen der Bundesregierung dazu aufgeführt werden.","","","05",52,19088
"7",7,"Ziel der Bundesregierung ist es, die aktive Teilnahme von Menschen mit Behinderungen am kulturellen Leben sowie an Erholung, Freizeit und Sport zu unterstützen.","","","06",52,19088
"8",8," In Pilotprojekten der Bundesregierung werden deshalb zum Beispiel neue Programme, Organisationsformen und Methoden für einen besseren Zugang zu etablierten Kulturhäusern sowie für eine inklusive Bildungsarbeit in Museen und Kultureinrichtungen und damit für einen inklusiven Kulturbetrieb entwickelt und erprobt.","","","07",52,19088
"9",9,"Frage 59 Antwortder Parl.
 Staatssekretärin Kerstin Griese auf die Frage der Abgeordneten Claudia ","","","08",52,19088
