"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",21,19112
"2",2," Tobias Peterka, AfD, ist der nächste Redner.","","","01",21,19112
"3",3," Tobias Matthias Peterka:","","","02",21,19112
"4",4,"Sehr geehrter Herr Präsident! Frau Ministerin! Kollegen! Der Haushalt des BMJV kommt mit einem Gesamtanteil von circa 0,25 Prozent und der genannten Refinanzierung durch Gebühren auf den ersten Blick als verwaltungsinterner Durchlaufposten daher.","","","03",21,19112
"5",5," Man könnte also fast versucht sein, zu meinen, dass es nicht so ins Gewicht fällt, wenn dieses Ministerium wie ein Firmenwagen behandelt wird:","","","04",21,19112
"6",6," kurz Start und Ziel ins Fahrtenbuch eingetragen, das Radio verstellt und den Kaffeebecher dringelassen.","","","05",21,19112
"7",7,"So wurden etwa für die Umsetzung der Beschwerdewege de t kdurchsetzungsgeset a 40 Planstellen beim Bundesamt für Justiz geschaffen, da sich wohl 25 000 Nutzer von sozialen Plattformen angeblich über Hassrede im weitesten Sinn beschweren werden.","","","06",21,19112
"8",8," Im Jahr 2018 kamen dann ganze 714 solcher Meldungen herein.","","","07",21,19112
"9",9," Und bei einer entsprechenden Anhörung konnte die Leitung des Bundesamtes dann auch gar nicht genau sagen, was die Beschäftigten auf diesen geschaffenen Stellen inzwischen tun.","","","08",21,19112
"10",10," Schließlich fallen ganze 97 Prozent der angedachten Arbeit weg.","","","09",21,19112
"11",11," Aber gut, Planstelle scheint wohl Planstelle zu sein.","","","10",21,19112
"12",12,"Und ob eine Zusammenarbeit mit örtlichen Staatsanwaltschaften wie zum Beispiel bei dem Projekt ,,Verfolgen statt nur Löschen“ aus NRW angegangen werden sollte, halte ich für sehr fragwürdig.","","","11",21,19112
"13",13," Denn dann müsste man ja zugeben, dass das NetzDG purer Aktionismus war.","","","12",21,19112
"14",14," Das Gebührenaufkommen beim Patent- und Markenamt ist mit über 400 Millionen Euro das Rückgrat des Haushalts.","","","13",21,19112
"15",15," Die Innovationsquote deutscher Anmelder ging jedoch zuletzt deutlich zurück.","","","14",21,19112
"16",16," Gerade ausländische Patentanmeldungen müssen dies zunehmend bei uns auf angen.","","","15",21,19112
"17",17,"Wenn man sieht, was diese Gebühren zum Teil querfinanzieren, dann ist die Haushaltsführung im sparsamen Sinn, wie man so schön sagt, fraglich.","","","16",21,19112
"18",18," Denn das europäische Einheitliche Patentgericht verursacht bereits jetzt merkwürdige Kosten, obwohl es bekanntlich noch gar nicht operabel ist und rechtlich im Schwebezustand hängt.","","","17",21,19112
"19",19," Beraterverträge a la von der Leyen, Mautvergabe a la Scheuer lassen hier vielleicht grüßen.","","","18",21,19112
"20",20," Und ja, mit ein bisschen Glück wird das vor dem Verfassungsgericht im Nachhinein noch als Vorbereitungsmaßnahme durchgehen:","","","19",21,19112
"21",21," also der Nicht-Andi-Scheuer-Ausgang der ganzen Sache.","","","20",21,19112
"22",22,"Aber gehen wir zum Verbraucherschutz.","","","21",21,19112
"23",23," Informationskampagnen schön und gut, jedoch werden hier explizit sogenannte besondere Zielgruppen angesteuert, zum Beispiel der Türkische Bund oder ein Flüchtlingsprojekt „Die neuen Verbraucher“.","","","22",21,19112
"24",24," Das ist zumindest eine total übertriebene Detailverästelung für einen Bundeshaushalt, von der politischen Anbiederung einmal ganz zu schweigen.","","","23",21,19112
"25",25," Die Deutsche Richterakademie:","","","24",21,19112
"26",26," Das BMJV leistet etwa 2 Millionen Euro und damit die Hälfte der Kosten.","","","25",21,19112
"27",27," Die Länder leisten den Rest.","","","26",21,19112
"28",28," Die Personalstärke im Bund beträgt jedoch bekanntlich nur etwas über 2 Prozent im Bundesvergleich.","","","27",21,19112
"29",29," Damit wird eine Vereinbarung akzeptiert, die eine 25-fach höhere Belastung als notwendig für den Bundeshaushalt festsetzt.","","","28",21,19112
"30",30," Wenn man das nicht tun würde, dann könnte man mit dem ersparten Geld über ein halbes Dutzend Stellen zum Beispiel beim Generalbundesanwalt finanzieren.","","","29",21,19112
"31",31," — Aber die Länder können auch ein bisschen mehr zahlen.","","","30",21,19112
"32",32," — Gerade die Bundesanwaltschaft muss nämlich einen erheblichen Aufbau erfahren, nicht nur im Hinblick auf die jetzige Situation, sondern auch auf die zukünftige Bewältigung von zunehmenden Terrorstraftaten und auch organisiertem Verbrechen nach angepasster Rechtslage.","","","31",21,19112
"33",33,"Kleinstaaterei lässt bekanntlich Terroristen jeder Couleur die einzelnen Staatsanwaltschaften an der Nase herumführen.","","","32",21,19112
"34",34," Hier darf nicht nur in Verschiebungen innerhalb dieses Einzelplans gedacht werden, sondern es ist begleitend richtig, Geld in die Hand zu nehmen, vielleicht ja auch aus einigen Beraterverträgen bei der Bundeswehr.","","","33",21,19112
"35",35," Die CDU-Vorsitzende müsste diese ja inzwischen auf dem Tisch haben.","","","34",21,19112
"36",36," Das würde schon einiges helfen; denn friedlicher wird unsere heterogen gemachte Gesellschaft auf gar keinen Fall.","","","35",21,19112
"37",37," Auf Ihre Analyse zum Thema Upskirting, Frau Ministerin, bin ich, gerade was die Aufklärung der Ursachen für dieses Phänomen angeht, sehr gespannt.","","","36",21,19112
"38",38," Mich interessiert:","","","37",21,19112
"39",39," Welche Worte werden Sie dazu finden?Vielen Dank.","","","38",21,19112
"40",40,"Präsident Dr.
 Wolfgang ","","","39",21,19112
