"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",90,19106
"2",2,"Die Frage hat zunächst einmal den Zweck, eine Antwort zu bekommen.","","","01",90,19106
"3",3," Wenn Sie diese Antwort heute bereits im Ausschuss bekommen haben, ist dieser Zweck der Frage erfüllt.","","","02",90,19106
"4",4," Darüber hinaus haben Sie natürlich die Möglichkeit, diese Frage in der Fragestunde noch mal zu stellen, um sie öffentlich zu machen; das ist Ihr gutes Recht.","","","03",90,19106
"5",5," Deshalb hat die Staatssekretärin Gelegenheit, darauf zu antworten.","","","04",90,19106
"6",6,"Rita Hagl-Kehl, Parl.","","","05",90,19106
"7",7," Staatssekretärin bei der Bundesministerin der Justiz und für Verbraucherschutz:","","","06",90,19106
"8",8,"Sehr geehrter Herr Präsident! Sehr geehrte Kollegin, ich habe nicht gesagt, ich verweigere Ihnen die Antwort, weil sie bereits gegeben wurde; aber ich habe noch mal darauf verwiesen, dass Ihnen genau diese Antwort heute schon mal gegeben wurde.","","","07",90,19106
"9",9," Ich habe vorhin gesagt:","","","08",90,19106
"10",10," Es gab keine deutschen Haftbefehle, die aufgehoben wurden, sondern es gab nur fünf Haftbefehle, die nicht deutsche Haftbefehle waren und aufgehoben wurden.
Vizepräsident Thomas ","","","09",90,19106
