"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",127,19086
"2",2," Für die CDU/CSU-Fraktion hat das Wort der Kollege Philipp Amthor.","","","01",127,19086
"3",3," Philipp Amthor:","","","02",127,19086
"4",4,"Herr Präsident! Liebe Kolleginnen und Kollegen! Ich habe eigentlich gedacht, dass mit dem Aschermittwoch die Karnevalszeit vorbei ist, aber die AfD entscheidet sich mal wieder für politischen Ganzjahreskarneval.","","","03",127,19086
"5",5," Als ich den Gesetzentwurf gelesen habe, habe ich gedacht:","","","04",127,19086
"6",6," Na ja, wenn die AfD jetzt eine Forderung der Jungen Union und der CSU übernimmt, ist das schon mal eine Garantie dafür, dass sie nicht ganz abwegig ist.","","","05",127,19086
"7",7," — Aber nachdem ich Ihren Auftritt gesehen habe, musste ich schon sagen:","","","06",127,19086
"8",8," Für einen schlechtenPhilipp AmthorAfD-Aschermittwoch ist er einen Versuch wert, für den Bundestag ist er echt schwach.","","","07",127,19086
"9",9," Lieber Herr Brandner, ich war mir mit Kollegin Haßelmann von den Grünen gerade einig, dass wir fast positive Erwartungen hatten, dass wir wirklich ein bisschen mehr Niveau erwartet hatten.","","","08",127,19086
"10",10," Denn ganz so niveaulos, wie es Ihr Auftritt heute war, ist Ihr Gesetzentwurf eigentlich nicht.","","","09",127,19086
"11",11," Von der Sache her ist es durchaus legitim, über eine Amtszeitbegrenzung zu diskutieren.","","","10",127,19086
"12",12," Es gibt Argumente dafür, es gibt Argumente dagegen.","","","11",127,19086
"13",13," Diese kann man staatsrechtlich abwägen, und Sie sehen anhand der Beschlüsse, die wir innerhalb der Jungen Union treffen, dass es auch einige gute Argumente für eine Amtszeitbegrenzung gibt, etwa eine spürbarere Dynamik, vernünftige, planbare Übergänge und auch weniger Turbulenzen bei der Amtszeitbeendigung.","","","12",127,19086
"14",14,"Das sind allerdings politikpraktische Argumente, und dass es Ihnen nicht um diese, sondern um tagespolitische Kleingeistigkeit geht, hat Ihr Gesetzentwurf wieder einmal gezeigt.","","","13",127,19086
"15",15," Sie reden von einem Versäumnis der Mütter und Väter des Grundgesetzes.","","","14",127,19086
"16",16," In Wahrheit geht es Ihnen aber gar nicht um das Grundgesetz, sondern Sie haben erneut den Versuch gestartet, um gegen Angela Merkel zu hetzen, und das ist intellektuell echt schwach.","","","15",127,19086
"17",17," Worum es Ihnen wirklich geht, zeigt die Polemik, mit der Sie hier agiert haben.","","","16",127,19086
"18",18," Wenn die Welt wirklich so einfach wäre, wenn diese tollen Kausalitäten, die Ihrer Ansicht nach belegen sollen, woran Angela Merkel alles schuld sei, zutreffen würden, dann kann ich nur sagen:","","","17",127,19086
"19",19," Mit einer solchen Kleingeistigkeit lässt sich keine vernünftige Politik machen.","","","18",127,19086
"20",20," Die CDU stellt sich jetzt schon auf für die Zukunft.","","","19",127,19086
