"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",77,19090
"2",2,"Frau Kollegin, kommen Sie bitte zum Schluss.","","","01",77,19090
"3",3,"Corinna Rüffer:","","","02",77,19090
"4",4,"Ein letzter Satz.","","","03",77,19090
"5",5," — Mit der Forderung nach einem Bonus vermitteln Sie das Bild, dass wir es hier mit einer bemitleidenswerten Personengruppe zu tun haben und den Arbeitgebern ein Bonbon geben müssen, damit sie mit der Zumutung, Menschen mit Behinderungen zu beschäftigen, klarkommen können.
Vizepräsident Wolfgang ","","","04",77,19090
