"","X","V1","Argumentativ","Claim_Premise","Satz_Nr","Rede_Nr","Sitzungsnummer"
"1",1,"","","","00",7,19093
"2",2," Nächster Redner ist der Kollege Dr.","","","01",7,19093
"3",3," Jens Brandenburg, DP.","","","02",7,19093
"4",4," Dr.","","","03",7,19093
"5",5," Jens Brandenburg:","","","04",7,19093
"6",6,"Herr Prasident! Liebe Kolleginnen und Kollegen! Das ist die größte BAfÖG-Reform seit langem — sagt Andrea Nahles.","","","05",7,19093
"7",7," Und sie hat recht damit, weil ihre Regierung es seit Jahren verpennt hat.","","","06",7,19093
"8",8," Das BAföG erreicht immer weniger Studierende.","","","07",7,19093
"9",9," Ausgerechnet bei Erstakademikern ist die Förderquote von 40 Prozent auf 27 Prozent eingebrochen.","","","08",7,19093
"10",10," Das BAföG ist so kompliziert geworden, dass niemand mehr seriös vorhersagen kann, wie der endgültige Bescheid ausfallen wird, und bis der Bescheid da ist, können Monate vergangen sein.","","","09",7,19093
"11",11," Eine Teilzeitförderung für Teilzeitstudierende gibt es gar nicht.","","","10",7,19093
"12",12," Das ist keine Lösung; das ist eine Zumutung.","","","11",7,19093
"13",13," Die größten Probleme haben diejenigen, deren EItern für das BAföG zu viel, aber für die volle Studienfinanzierung zu wenig verdienen.","","","12",7,19093
"14",14," Junge Studierende mit BAföG-Höchstsatz bekommen inklusive Kindergeld etwa 930 Euro im Monat.","","","13",7,19093
"15",15," Beim Elternunterhalt wird dieses Geld allerdings angerechnet.","","","14",7,19093
"16",16," Das führt dazu, dass Studierende ohne BAföG-Anspruch oder diejenigen mit BAföG-Teilförderung in der Regel etwa 200 Euro weniger zur Verfügung haben.","","","15",7,19093
"17",17,"Hinzu kommt, dass einige Eltern den formalen Unterhaltsanspruch gar nicht in vollem Umfang leisten können oder wollen, zum Beispiel, weil sie noch eine Wohnung abbezahlen müssen oder weil sie der Meinung sind, dass das eigene Kind besser Medizin als Sozialpädagogik studieren sollte.","","","16",7,19093
"18",18,"40 Prozent — 40 Prozent! — der Nicht-BAföG-Empfänger sind neben dem Studium schon heute auf umfangreichste Nebentätigkeiten angewiesen.","","","17",7,19093
"19",19," Was nützt denn der formale Unterhaltsanspruch, wenn man in der Praxis dafür seine Eltern erst verklagen muss? Wenn das Gesetz so sehr an der Lebenswirklichkeit der Menschen vorbeigeht, dann brauchen wir nicht andere Menschen, dann brauchen wir andere Gesetze.","","","18",7,19093
"20",20," Volljährige Studierende sind keine Anhängsel irgendeiner elterlichen Bedarfsgemeinschaft, sondern eigenständige Persönlichkeiten, die selbst und frei überDr.","","","19",7,19093
"21",21," Jens Brandenburgdie Wahl des Studiums entscheiden sollen.","","","20",7,19093
"22",22," Wir wollen weltbeste Bildung für jeden, unabhängig von der sozialen Herkunft.","","","21",7,19093
"23",23," Die Chance auf ein Studium darf nicht weiterhin von der Unterstützungskraft oder Unterstützungsbereitschaft der Eltern abhängen.","","","22",7,19093
"24",24," Es ist Zeit für ein elternunabhängiges BAföG, das Studierenden diese Selbstbestimmung endlich ermöglicht.","","","23",7,19093
"25",25," Was Sie, Frau Karliczek, heute vorlegen, ist ein längst überfälliger Inflationsausgleich.","","","24",7,19093
"26",26," Die große Strukturreform bleibt völlig aus.","","","25",7,19093
"27",27," Wenn das alles ist, was Ihnen dazu einfällt, sage ich:","","","26",7,19093
"28",28," Das hätten Sie letzten Sommer schon haben können.","","","27",7,19093
"29",29,"Die Anträge der anderen Oppositionsfraktionen sind da nicht besser.","","","28",7,19093
"30",30," Der Antragstext der Linken kommt gerade mal auf eine halbe Seite, ist dafür aber etliche Milliarden schwer.","","","29",7,19093
"31",31," Der AfD-Antrag verstrickt sich in mehrere Widersprüche.","","","30",7,19093
"32",32," Warum die Grünen nichts einreichen, weiß ich nicht; aber sie haben zumindest beim letzten Mal einen Arbeitskreis vorgeschlagen, der in Zukunft eine Strukturreform ausarbeiten soll.","","","31",7,19093
"33",33," Aber keine Sorge:","","","32",7,19093
"34",34," Als gute Serviceopposition haben wir das jetzt natürlich selbst in die Hand genommen.","","","33",7,19093
"35",35," Ich sehe es auch als gutes Zeichen dafür, wie stark dieser Antrag ist, dass sich sämtliche Vorredner eigentlich mehr an unserem Konzept abarbeiten als an der schwachen Vorlage der Regierung.","","","34",7,19093
"36",36," Unser Baukasten-BAföG macht Schluss mit Antragsbürokratie und finanzieller Unsicherheit, so wie das BAföG der Zukunft sein sollte:","","","35",7,19093
"37",37," schnell, einfach und auch digital, ein BAföG, das jedem eine Chance bietet.","","","36",7,19093
"38",38," Zur passgenauen Studienfinanzierung gibt es bei uns drei Bausteine.","","","37",7,19093
"39",39,"Erster Baustein.","","","38",7,19093
"40",40," Den BAföG-Sockel von monatlich 200 Euro gibt es für jeden Studierenden unter 25 Jahren.","","","39",7,19093
"41",41," Anstatt diesen Beitrag, den wir als Staat schon heute zahlen, an die Eltern volljähriger Studierender auszuzahlen, soll er direkt denjenigen zugutekommen, für die er eigentlich gedacht ist.","","","40",7,19093
"42",42,"Zweiter Baustein.","","","41",7,19093
"43",43," Wer Verantwortung für sich und für die Gesellschaft übernimmt, soll mit weiteren 200 Euro im Monat unterstützt werden.","","","42",7,19093
"44",44," Studierende, die im Schnitt zehn Stunden die Woche einer Nebentätigkeit nachgehen, erhalten genau diesen BAf6G-Zuschuss.","","","43",7,19093
"45",45," Das ist zielgenau; das ist leistungs- und bedarfsgerecht, weil er genau diejenigen unterstützt, die darauf angewiesen sind und die auch bereit sind, ein Stück Verantwortung zu übernehmen.","","","44",7,19093
"46",46," Die Hürde von zehn Stunden in der Woche ist zumutbar.","","","45",7,19093
"47",47," Ein GroBteil der Studierenden leistet das heute schon, in der Regel sogar weit mehr.","","","46",7,19093
"48",48,"Wir vermeiden mit unserem Vorschlag Mitnahmeeffekte.","","","47",7,19093
"49",49," Es ist also bei weitem kein bedingungsloses Grundeinkommen, wie Sie das eben dargestellt haben.","","","48",7,19093
"50",50," Vielmehr hilft er all denjenigen, die bisher durch das Raster fallen, was auch nach diesem Gesetzentwurf der GroKo der Fall wäre.","","","49",7,19093
"51",51," Den 200-Euro-Zuschuss sollen auch diejenigen erhalten, die in diesem Umfang ehrenamtlich tätig sind, die eigene Kinder erziehen oder auch nahe Angehörige pflegen.","","","50",7,19093
"52",52," So honorieren wir persönliches Engagement, wir stärken das Ehrenamt, und wir geben den Studierenden die nötige Luft zum Atmen.","","","51",7,19093
"53",53," Das ist echte Chancengerechtigkeit.","","","52",7,19093
"54",54," Dritter Baustein:","","","53",7,19093
"55",55," das flexible Darlehen.","","","54",7,19093
"56",56," Bis zu 1 000 Euro im Monat abzüglich Sockel- und Zuschussbetrag soll jeder Studierende auf eigenen Wunsch aufnehmen können.","","","55",7,19093
"57",57," Genau wie der Darlehensanteil im bisherigen BAföG — das ist ja nichts Neues — Anders als beim bisherigen BAföG, das Sie als GroKo verteidigen, ist dieser Darlehensanteil freiwillig.","","","56",7,19093
"58",58," Es ist in unserem Modell mit einer überschaubaren Nebentätigkeit — plus Sockel, plus Zuschussbetrag, den es dann geben soll — möglich, im Monat über 800 Euro zu bekommen, ohne auch nur 1 Euro davon zurückzahlen zu müssen.","","","57",7,19093
"59",59," Davon träumen doch heutzutage viele Studierende.","","","58",7,19093
"60",60," Auch das ist im aktuellen BAföG-Modell nicht möglich.","","","59",7,19093
"61",61," Gleichzeitig schafft die Möglichkeit des Darlehens allen die nötige Absicherung, und zwar in jeder Studiensituation.","","","60",7,19093
"62",62," Wir sorgen dafür, dass kurzfristige Fälligkeiten, zum Beispiel für das Semesterticket oder die Mietkaution, unproblematisch finanziert werden können.","","","61",7,19093
"63",63," Auch das ist ein Problem des aktuellen BAföG.","","","62",7,19093
"64",64,"Wir versprechen also nicht wie manch andere mehr Geld für alle oder mehr Geld nur für eine kleine Gruppe, sondern handfeste Chancen für jeden.","","","63",7,19093
"65",65," Die Bausteine lassen sich flexibel zusammensetzen und einfach per Smartphone-App verwalten.","","","64",7,19093
"66",66," Das Modell ist mit bisherigen Haushaltsmitteln weitgehend gegenfinanziert und bereits ab Sommersemester 2020 umsetzbar.","","","65",7,19093
"67",67,"Liebe Kolleginnen und Kollegen, Sie können es sich jetzt sehr einfach machen und im Status quo verharren — das wird die massiven Probleme der Studierenden nicht lösen —, oder Sie arbeiten konstruktiv mit uns zusammenDr.","","","66",7,19093
"68",68," Jens Brandenburgan einer großen Reform, die Generationen von Studierenden handfeste Bildungschancen verschafft.","","","67",7,19093
"69",69," Unsere Einladung dazu steht.","","","68",7,19093
"70",70," Packen wir es also an! Abwarten ist keine Lösung.","","","69",7,19093
"71",71,"Herzlichen Dank.","","","70",7,19093
"72",72,"Präsident Dr.
 Wolfgang ","","","71",7,19093
